"rank","name","image","first_appearance_game","first_appearance_year","description","did_you_know","source","last_updated"
50,"Shy Guy ","https://howchoo.com/media/zj/jk/nj/shy-guy.jpeg?width=900&auto=webp&quality=70","Doki Doki Panic","1987","Shy Guys are the quintessential cute and evil minions of video games. They appear in several Nintendo titles as the minions of Bowser or Wart. They're thought to live in the Mushroom Kingdom, though that is just a rumor. What is consistent about the Shy Guys are their iconic masks and robes, as well as their cute and sneaky nature. ","For many Nintendo fans, the Shy Guy is best known for his appearance and performance in Mario Power Tennis, where let's face it...Shy Guy had some skills.","howchoo.com","2021-05-15"
49,"Navi ","https://howchoo.com/media/md/yz/ow/navi-legend-of-zelda.jpeg?width=900&auto=webp&quality=70","The Legend of Zelda: Ocarina of Time","1998","Even though Navi only appears in Ocarina of Time, the little sprite/fairy has still won our hearts. Navi is told early in the game by the Great Deku Tree to follow Link and help him out in his journey. Navi points out clues and other hidden things in the map for Link and points out the direction of quests. Navi is also a way for Link to lock on to certain enemy targets. ","Navi has also made quite a few of lists of the most annoying characters in a video game with many players seeing Navi more as a distraction than something essential to the game.","howchoo.com","2021-05-15"
48,"Ash Ketchum ","https://howchoo.com/media/nj/q2/yw/ash-ketchum.jpeg?width=900&auto=webp&quality=70","Pokémon Puzzle League","2000","Contrary to popular belief, Ash Ketchum is not the protagonist of video games such as Pokémon Red, Blue, or Yellow. Instead, the main character of those games is named Red, who the anime character known as Ash Ketchum is based on. The only game Ash Ketchum appears in is Pokémon Puzzle League released for the N64 in 2000. Confusing? Yeah, we know. Still, Ash Ketchum is what most people think of when they think of Pokémon and its main protagonist, which is enough to earn him the spot on our list. ","The original anime used the name Satoshi Tajiri, who is the creator of the Pokémon game and series. Ash was meant to be like Tajiri when he was a child and showcased his love for catching bugs.","howchoo.com","2021-05-15"
47,"Dog (Duck Hunt) ","https://howchoo.com/media/mt/uw/yj/duck-hunt-dog.jpeg?width=900&auto=webp&quality=70","Duck Hunt","1985","Known only as ""Dog,"" the dog that collects the ducks the player has shot has that winning smile that helps him onto our list of famous video game characters. Seriously though, ""Dog"" would likely not have made the list if it weren't for his character in Super Smash Bros, which has made him quite a bit more famous with gamers of the younger generation. Really all the dog does is appear on the screen to show off the ducks, but every time he does it just makes us smile. Oh, and he laughs every time a player misses, which makes him one of the most annoying characters of all time, as well. ","There was an urban legend that a player could actually kill the dog in Duck Hunt, which wasn't true until the arcade VS. Duck Hunt, where it actually was possible to shoot the dog. We say...why would you want to hurt that delightful mutt?!","howchoo.com","2021-05-15"
46,"Sweet Tooth ","https://howchoo.com/media/n2/nm/mg/sweet-tooth-twisted-metal.jpeg?width=900&auto=webp&quality=70","Twisted Metal","1995","It was hard to decide between showcasing the image of Sweet Tooth himself or his iconic ice cream truck. We went with the killer clown, who might be responsible for a whole generation of people with coulrophobia or a fear of clowns. While he doesn't have much of a narrative, we learn from later cut scenes that Sweet Tooth is a former circus performer who's escaped from a mental institution. In-game, Sweet Tooth's ice cream truck is decked with some wicked machine guns and the screams of his victims. ","For years, fans have been asking to learn more about Sweet Tooth's backstory, and finally, a cut-scene was made where we learn about a lover that Sweet Tooth doesn't much care for anymore, to put it mildly. Note that the video below is quite scary and might be too frightening for some.","howchoo.com","2021-05-15"
45,"M. Bison ","https://howchoo.com/media/ot/jh/ot/m-bison.jpeg?width=900&auto=webp&quality=70","Street Fighter II","1991","The Dictator to some, M. Bison is the ultimate personification of evil and the main antagonist of the Street Fighter series, even while not appearing until Street Fighter II. Like many villains, M. Bison's ultimate goal is to take over the world. He tries to accomplish this through his underground crime syndicate known as Shadaloo. His in-game powers include a famous energy attack where he spins in the air at his opponent. He's known for the barely comprehensible ""Ooga"" he shouts throughout the match while he punches. ","Originally the character was going to be named Mike Bison. Capcom feared, however, that they would be legally liable due to the close resemblance of that name to the boxer Mike Tyson, so they shortened the ""Mike"" to just an ""M.""","howchoo.com","2021-05-15"
44,"Doctor Albert W. Wily ","https://howchoo.com/media/zt/zl/mt/dr-wiley.jpeg?width=900&auto=webp&quality=70","Mega Man","1987","Dr. Wily is Mega Man's nemesis; though, you probably haven't heard of him unless you played Mega Man or watched the animated show, where his character really took shape. Dr. Wily is essentially a jealous hack that is angry about the achievements of Dr. Light, who created Mega Man. Dr. Wily. In his anger, he reprogrammed many of the robots to become fighters with the final hope of...yes...taking over the world. ","Albert Einstein inspires Dr. Wiley's character and design with the crazy hair and mustache. Oh, and his first name is Albert, as another nod to the great physicist.","howchoo.com","2021-05-15"
43,"Sarah Louise Kerrigan ","https://howchoo.com/media/od/yx/nm/sarah-kerrigan.jpeg?width=900&auto=webp&quality=70","StarCraft","1998","It's hard to make a list without at least one Blizzard video game character, and Sarah Kerrigan is certainly the standout. She appears in two Blizzard franchise titles: StarCraft andHeroes of the Storm. Before StarCraft fell out of favor, she really was the face of competitive gaming. Also known as the Queen of the Blades, Kerrigan is an assassin in-game, using her psychic powers to gain knowledge and take down her enemies. In Blizzard lore, she contains many narratives and is featured in many of the novels written about StarCraft. ","Sarah Kerrigan was named after Nancy Kerrigan, Olympic gold medalist figure skater famous for her feud with Tanya Harding.","howchoo.com","2021-05-15"
42,"Atreus ","https://howchoo.com/media/mm/ji/ng/altreus.jpeg?width=900&auto=webp&quality=70","God of War","2018","When God of War first announced its Norse-era version of the game, fans were treated with a young boy emerging out of the digital forest. Atreus is the son of Kratos and Faye. He has a special ability to hear the thoughts of the creatures of the forest, which players can use to their advantage in the game. Atreus' journey in the game, both physically and emotionally, is quite complex. Along with the player, he needs to learn who he is and his place in the world around him. ","Atreus' story loosely follows the story of Atreus from Greek mythology, who murdered his father in a quest for the throne of Olympia.","howchoo.com","2021-05-15"
41,"Fox McCloud ","https://howchoo.com/media/ow/yx/zj/fox-mccloud.jpeg?width=900&auto=webp&quality=70","Star Fox","1993","Fox McCloud is every gamer's favorite anthropomorphic fox. He is the leader of a group called Star Fox and most of the time players control him aboard the spaceship, Arwing. Essentially, Fox is a gun-for-hire, hired to perform various missions and...you know...save the world. Many liken him to video gaming's answer to Luke Skywalker, as he exhibits great bravery and heroism throughout the series of games. ","Designer, Shigeru Miyamoto, was undecided on what kind of animal to use for the game until he visited the Fushimi Inari shrine which is a giant statue of a mythological fox.","howchoo.com","2021-05-15"
