"name","votes","rank","region","source"
"Greninja",140559,"1","All","https://pokemon2020.pokemon.com/en-us/"
"Charizard",93968,"1","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Umbreon",67062,"1","Johto","https://pokemon2020.pokemon.com/en-us/"
"Rayquaza",60596,"1","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Lucario",102259,"1","Sinnoh","https://pokemon2020.pokemon.com/en-us/"
"Chandelure",50943,"1","Unova","https://pokemon2020.pokemon.com/en-us/"
"Greninja",140559,"1","Kalos","https://pokemon2020.pokemon.com/en-us/"
"Mimikyu",99077,"1","Aloha","https://pokemon2020.pokemon.com/en-us/"
"Dragapult",57973,"1","Galar","https://pokemon2020.pokemon.com/en-us/"
"Lucario",102259,"2","All","https://pokemon2020.pokemon.com/en-us/"
"Mimikyu",99077,"3","All","https://pokemon2020.pokemon.com/en-us/"
"Charizard",93968,"4","All","https://pokemon2020.pokemon.com/en-us/"
"Umbreon",67062,"5","All","https://pokemon2020.pokemon.com/en-us/"
"Sylveon",66029,"6","All","https://pokemon2020.pokemon.com/en-us/"
"Garchomp",61877,"7","All","https://pokemon2020.pokemon.com/en-us/"
"Rayquaza",60939,"8","All","https://pokemon2020.pokemon.com/en-us/"
"Gardevoir",60596,"9","All","https://pokemon2020.pokemon.com/en-us/"
"Gengar",60214,"10","All","https://pokemon2020.pokemon.com/en-us/"
"Dragapult",57973,"11","All","https://pokemon2020.pokemon.com/en-us/"
"Tyranitar",56834,"12","All","https://pokemon2020.pokemon.com/en-us/"
"Bulbasaur",56015,"13","All","https://pokemon2020.pokemon.com/en-us/"
"Toxtricity",55032,"14","All","https://pokemon2020.pokemon.com/en-us/"
"Lugia",53268,"15","All","https://pokemon2020.pokemon.com/en-us/"
"Rowlet",52367,"16","All","https://pokemon2020.pokemon.com/en-us/"
"Aegislash",51517,"17","All","https://pokemon2020.pokemon.com/en-us/"
"Chandelure",50943,"18","All","https://pokemon2020.pokemon.com/en-us/"
"Pikachu",48060,"19","All","https://pokemon2020.pokemon.com/en-us/"
"Eevee",47762,"20","All","https://pokemon2020.pokemon.com/en-us/"
"Luxray",46032,"21","All","https://pokemon2020.pokemon.com/en-us/"
"Decidueye",44011,"22","All","https://pokemon2020.pokemon.com/en-us/"
"Zoroark",43782,"23","All","https://pokemon2020.pokemon.com/en-us/"
"Lycanroc",42792,"24","All","https://pokemon2020.pokemon.com/en-us/"
"Corviknight",41711,"25","All","https://pokemon2020.pokemon.com/en-us/"
"Flygon",41420,"26","All","https://pokemon2020.pokemon.com/en-us/"
"Hydreigon",40054,"27","All","https://pokemon2020.pokemon.com/en-us/"
"Sceptile",38724,"28","All","https://pokemon2020.pokemon.com/en-us/"
"Blaziken",38307,"29","All","https://pokemon2020.pokemon.com/en-us/"
"Snom",38034,"30","All","https://pokemon2020.pokemon.com/en-us/"
"Gengar",60214,"2","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Bulbasaur",56015,"3","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Pikachu",48060,"4","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Eevee",47762,"5","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Dragonite",36873,"6","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Mew",36266,"7","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Mewtwo",34585,"8","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Arcanine",29795,"9","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Lapras",23411,"10","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Snorlax",19768,"11","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Ninetales",19044,"12","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Squirtle",18476,"13","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Blastoise",16795,"14","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Vaporeon",14887,"15","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Muk",14358,"16","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Charmander",14049,"17","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Ditto",13843,"18","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Slowpoke",12369,"19","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Nidoking",11586,"20","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Porygon",11311,"21","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Vulpix",11224,"22","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Psyduck",11212,"23","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Raichu",11196,"24","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Pinsir",11162,"25","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Jolteon",11064,"26","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Dragonair",11051,"27","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Venusaur",10454,"28","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Articuno",10450,"29","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Magnemite",9955,"30","Kanto","https://pokemon2020.pokemon.com/en-us/"
"Tyranitar",56834,"2","Johto","https://pokemon2020.pokemon.com/en-us/"
"Lugia",53268,"3","Johto","https://pokemon2020.pokemon.com/en-us/"
"Typhlosion",35184,"4","Johto","https://pokemon2020.pokemon.com/en-us/"
"Scizor",34691,"5","Johto","https://pokemon2020.pokemon.com/en-us/"
"Ampharos",32009,"6","Johto","https://pokemon2020.pokemon.com/en-us/"
"Espeon",30052,"7","Johto","https://pokemon2020.pokemon.com/en-us/"
"Cyndaquil",28332,"8","Johto","https://pokemon2020.pokemon.com/en-us/"
"Suicune",26277,"9","Johto","https://pokemon2020.pokemon.com/en-us/"
"Totodile",22526,"10","Johto","https://pokemon2020.pokemon.com/en-us/"
"Crobat",21548,"11","Johto","https://pokemon2020.pokemon.com/en-us/"
"Furret",21447,"12","Johto","https://pokemon2020.pokemon.com/en-us/"
"Celebi",20492,"13","Johto","https://pokemon2020.pokemon.com/en-us/"
"Chikorita",18521,"14","Johto","https://pokemon2020.pokemon.com/en-us/"
"Ho-Oh",18278,"15","Johto","https://pokemon2020.pokemon.com/en-us/"
"Feraligatr",18245,"16","Johto","https://pokemon2020.pokemon.com/en-us/"
"Heracross",16577,"17","Johto","https://pokemon2020.pokemon.com/en-us/"
"Natu",15699,"18","Johto","https://pokemon2020.pokemon.com/en-us/"
"Pichu",15695,"19","Johto","https://pokemon2020.pokemon.com/en-us/"
"Houndoom",14742,"20","Johto","https://pokemon2020.pokemon.com/en-us/"
"Togepi",14288,"21","Johto","https://pokemon2020.pokemon.com/en-us/"
"Quagsire",13308,"22","Johto","https://pokemon2020.pokemon.com/en-us/"
"Entei",10404,"23","Johto","https://pokemon2020.pokemon.com/en-us/"
"Quilava",10032,"24","Johto","https://pokemon2020.pokemon.com/en-us/"
"Porygon2",9902,"25","Johto","https://pokemon2020.pokemon.com/en-us/"
"Wooper",9323,"26","Johto","https://pokemon2020.pokemon.com/en-us/"
"Misdreavus",8156,"27","Johto","https://pokemon2020.pokemon.com/en-us/"
"Shuckle",8129,"28","Johto","https://pokemon2020.pokemon.com/en-us/"
"Wobbuffet",7745,"29","Johto","https://pokemon2020.pokemon.com/en-us/"
"Kingdra",7418,"30","Johto","https://pokemon2020.pokemon.com/en-us/"
"Gardevoir",60596,"2","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Flygon",41420,"3","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Sceptile",38724,"4","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Blaziken",38307,"5","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Mudkip",36920,"6","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Metagross",35631,"7","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Jirachi",29611,"8","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Milotic",28295,"9","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Absol",27781,"10","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Swampert",26540,"11","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Salamence",24920,"12","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Aron",24389,"13","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Aggron",18120,"14","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Latias",17478,"15","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Altaria",16814,"16","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Kyogre",15585,"17","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Mawile",15523,"18","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Breloom",12801,"19","Hoenn","https://pokemon2020.pokemon.com/en-us/"
"Torchic",12568,"20","Hoenn","https://pokemon2020.pokemon.com/en-us/"
