source,marathon,total donations received,money raised US$,Max,Avg,Median,,
https://gamesdonequick.com/tracker/event/cgdq,Classic Games Done Quick,464,"10,531.64",500,22.7,10,,
https://gamesdonequick.com/tracker/event/agdq2011,Awesome Games Done Quick 2011,3253,"52,519.83","1,256.00",16.15,6,,
https://gamesdonequick.com/tracker/event/jrdq,Japan Relief Done Quick,1192,"25,800.33","1,337.00",21.64,10,,
https://gamesdonequick.com/tracker/event/sgdq2011,Summer Games Done Quick 2011,1118,"21,396.76",500,19.14,10,,
https://gamesdonequick.com/tracker/event/agdq2012,Awesome Games Done Quick 2012,5872,"149,044.99","3,500.00",25.38,10,,
https://gamesdonequick.com/tracker/event/sgdq2012,Summer Games Done Quick 2012,2207,"46,278.99","2,500.00",20.97,10,,
https://gamesdonequick.com/tracker/event/spook,Speedrun Spooktacular,525,"9,732.99",300,18.54,10,,
https://gamesdonequick.com/tracker/event/agdq2013,Awesome Games Done Quick 2013,16308,"448,425.27","6,000.00",27.5,15,,
https://gamesdonequick.com/tracker/event/sgdq2013,Summer Games Done Quick 2013,10781,"257,181.07","6,000.00",23.86,15,,
https://gamesdonequick.com/tracker/event/agdq2014,Awesome Games Done Quick 2014,28100,"1,031,665.50","10,000.00",36.71,20,,
https://gamesdonequick.com/tracker/event/sgdq2014,Summer Games Done Quick 2014,19104,"718,235.07","82,984.71",37.6,20,,
https://gamesdonequick.com/tracker/event/agdq2015,Awesome Games Done Quick 2015,39501,"1,576,085.00","200,556.24",39.9,20,,
https://gamesdonequick.com/tracker/event/sgdq2015,Summer Games Done Quick 2015,28529,"1,215,601.49","12,000.00",42.61,25,,
https://gamesdonequick.com/tracker/event/agdq2016,Awesome Games Done Quick 2016,30613,"1,216,309.02","18,255.00",39.73,20,,
https://gamesdonequick.com/tracker/event/sgdq2016,Summer Games Done Quick 2016,30892,"1,294,139.50","52,000.00",41.89,15,,
https://gamesdonequick.com/tracker/event/agdq2017,Awesome Games Done Quick 2017,43472,"2,222,790.52","40,000.00",51.13,20,,
https://gamesdonequick.com/tracker/event/sgdq2017,Summer Games Done Quick 2017,30106,"1,792,342.37","20,300.00",59.53,25,,
https://gamesdonequick.com/tracker/event/hrdq,Harvey Relief Done Quick,4341,"229,454.94","10,050.00",52.86,20,, 
https://gamesdonequick.com/tracker/event/agdq2018,Awesome Games Done Quick 2018,44563,"2,295,190.66","108,092.32",51.5,20,,
https://gamesdonequick.com/tracker/event/sgdq2018,Summer Games Done Quick 2018,35434,"2,168,913.51","110,260.00",61.21,25,,
https://gamesdonequick.com/tracker/event/GDQX2018,Games Done Quick Express 2018,3270,"139,878.95","3,000.00",42.78,25,,
https://gamesdonequick.com/tracker/event/agdq2019,Awesome Games Done Quick 2019,46457,"2,425,790.50","217,226.12",52.22,20,,
https://gamesdonequick.com/tracker/event/sgdq2019,Summer Games Done Quick 2019,51032,"3,039,596.07","341,000.00",59.56,25,,
https://gamesdonequick.com/tracker/event/GDQX2019,Games Done Quick Express 2019,4092,"152,595.32","5,000.00",37.29,20,,
https://gamesdonequick.com/tracker/event/agdq2020,Awesome Games Done Quick 2020,54202,"3,164,002.06","356,306.00",58.37,25,,
https://gamesdonequick.com/tracker/event/frostfatales2020,Frost Fatales 2020,1398,"54,286.90","10,000.00",38.83,15,,
https://gamesdonequick.com/tracker/event/crdq,Corona Relief Done Quick,6228,"403,631.60","10,000.00",64.81,25,,
https://gamesdonequick.com/tracker/event/sgdq2020,Summer Games Done Quick 2020,33709,"2,345,785.57","273,511.04",69.59,25,,
https://gamesdonequick.com/tracker/event/thpslaunch,Tony Hawk's Pro Skater 1 + 2 Launch Celebration,126,"4,434.18","1,000.00",35.19,20,,
https://gamesdonequick.com/tracker/event/fleetfatales2020,Fleet Fatales 2020,1744,"81,396.18","2,020.00",46.67,25,,
https://gamesdonequick.com/tracker/event/AGDQ2021,Awesome Games Done Quick 2021 Online,42117,"2,739,612.05","150,478.10",65.05,25,,
https://gamesdonequick.com/tracker/event/SGDQ2021,Summer Games Done Quick 2021 Online,40381,"2,938,714.59","250,615.22",72.77,25,,
https://gamesdonequick.com/tracker/event/flamefatales2021,Flame Fatales 2021,2321,"127,266.40","2,000.00",54.83,25,,
https://gamesdonequick.com/tracker/event/AGDQ2022,Awesome Games Done Quick 2022 Online,49531,"3,442,033.88","236,656.94",69.49,25,,
https://gamesdonequick.com/tracker/event/frostfatales2022,Frost Fatales 2022,2364,"132,577.88","10,000.00",56.08,25,,
