Season,Game,Start,Completed,Completion time,Completion time in seconds,Notes,Source
Season 1,Pokémon Red,12-Feb-14,01-Mar-14,"16 days, 9 hours, 55 minutes, 4 seconds",1418104,"Intended to use a modded version, but an unmodified version was mistakenly loaded instead.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Crystal,02-Mar-14,15-Mar-14,"13 days, 2 hours, 2 minutes, 55 seconds",1130575,"Uses a modded version, with 251 species of Pokémon available and the final boss Red's team consisting of the same team from Twitch Plays Pokémon Red.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Emerald,21-Mar-14,11-Apr-14,"20 days, 21 hours, 55 minutes, 41 seconds",1806941,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Randomized FireRed,11-Apr-14,27-Apr-14,"15 days, 2 hours, 1 minute, 54 seconds",1303314,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Platinum,02-May-14,20-May-14,"17 days, 11 hours, 38 minutes, 47 seconds",1510727,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Randomized HeartGold,23-May-14,12-Jun-14,"18 days, 20 hours, 33 minutes, 51 seconds",1629231,"Used a modded version with a pseudorandom number generator to change the predetermined Pokémon, items, and moves.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Black,15-Jun-14,27-Jun-14,"12 days, 18 hours, 34 minutes, 59 seconds",1103699,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Blaze Black 2,06-Jul-14,22-Jul-14,"19 days, 2 hours, 15 minutes, 37 seconds",1649737,Used a ROM hack of Pokémon Black 2 called Pokémon Blaze Black 2 and featured the ability to obtain all Pokémon available within Generation V as well as other gameplay tweaks.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon X,27-Jul-14,01-Aug-14,"5 days, 5 hours, 44 seconds",450044,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 1,Pokémon Omega Ruby,22-Nov-14,29-Nov-14,"8 days, 13 hours, 29 minutes",739740,,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Pokémon Anniversary Red,12-Feb-15,23-Mar-15,"39 days, 19 hours, 27 minutes, 12 seconds",3439632,"Used a modded, more difficult version which makes all 151 species available; goal is to complete the Pokédex.",https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
Season 2,Pokémon Vietnamese Crystal,23-Mar-15,10-Nov-15,"37 weeks, 3 days, 3 hours, 21 minutes",22648860,A bootleg version of Pokémon Crystal. This version is notorious among Pokémon fans for its rampant mistranslations.,https://en.wikipedia.org/wiki/Twitch_Plays_Pok%C3%A9mon
