Title,Average metascore / critic review,Average userscore,Units Sold (millions),Release Date,Platforms,Developers,Genres,Sources
Diddy Kong Racing,88,8.50,4.88,14/11/1997,Nintendo 64,Rare,Racing,"Metacritic, VGChartz, VGInsights & Wikipedia"
Animal Crossing: New Leaf,88,8.70,12.55,08/11/2012,Nintendo 3DS,Nintendo,Simulation||Casual||Family,"Metacritic, VGChartz, VGInsights & Wikipedia"
Bully,80,8.10,2.56,17/10/2006,PlayStation 2 || Xbox 360 || PC || iOS,Rockstar Vancouver,Action||Adventure||Simulation,"Metacritic, VGChartz, VGInsights & Wikipedia"
Marvel's Spider-Man: Miles Morales,85,7.55,6.5,22/10/2020,PC,disrespect,Action,"Metacritic, VGChartz, VGInsights & Wikipedia"
Hitman,84,7.63,2.62,16/11/2017,Linux||macOS||PC||Xbox One||PlayStation 4,Feral Interactive||Square Enix||IO Interactive,Action||Shooter,"Metacritic, VGChartz, VGInsights & Wikipedia"
Cthulhu Saves Christmas,83,8.50,0.01,23/12/2019,PC,Zeboyd Digital,Action||Adventure||RPG || JRPG,"Metacritic, VGChartz, VGInsights & Wikipedia"
Yakuza 5,83,8.60,0.59,06/12/2012,PlayStation 4||PlayStation 3,SEGA||Ryu ga Gotoku Studio,Action||Adventure,"Metacritic, VGChartz, VGInsights & Wikipedia"
Hitman: Blood Money,82,8.65,1.06,29/05/2006,PC||Xbox 360||PlayStation 3||PlayStation 2||Xbox,Square Enix||IO Interactive,Action||Shooter,"Metacritic, VGChartz, VGInsights & Wikipedia"
Parasite Eve,81,9.00,1.9,15/03/1998,PlayStation||PS Vita||PSP||PlayStation 3,Sony Interactive Entertainment||Square,RPG,"Metacritic, VGChartz, VGInsights & Wikipedia"
Saints Row IV,81,6.80,3.21,20/08/2013,PC||Linux||Xbox 360||PlayStation 4||PlayStation 3,Volition,Action||Adventure,"Metacritic, VGChartz, VGInsights & Wikipedia"
Twisted Metal,76,7.90,1.9,14/02/2012,PSP||PS Vita||PlayStation 3,Sony Interactive Entertainment||Eat Sleep Play,Action||Racing||Arcade,"Metacritic, VGChartz, VGInsights & Wikipedia"
The Escapists 2,75,6.78,0.93,21/08/2017,PC||macOS||Linux||PlayStation 4||Xbox One||Nintendo Switch,Team17 Digital||Mouldy Toof Studios,Strategy||Simulation||Indie,"Metacritic, VGChartz, VGInsights & Wikipedia"
ShenMue I & II,75,8.30,0.34,29/12/1999,Dreamcast,SEGA,Adventure||RPG||Simulation,"Metacritic, VGChartz, VGInsights & Wikipedia"
The Escapists,74,6.60,1.3,12/02/2015,iOS||PC||macOS||Android||Linux||Nintendo Switch||Xbox One||Xbox 360||PlayStation 4,Team17 Digital||Mouldy Toof Studios,Action||Adventure||RPG||Strategy||Simulation||Indie||Puzzle,"Metacritic, VGChartz, VGInsights & Wikipedia"
Infected,74,8.20,0.15,02/07/2018,Web,Rosden Shadow,Puzzle,"Metacritic, VGChartz, VGInsights & Wikipedia"
NBA Jam,73,7.53,5.19,05/10/2010,Wii||Xbox 360||PlayStation 3,Electronic Arts Canada,Sports,"Metacritic, VGChartz, VGInsights & Wikipedia"
Dead Rising 4,73,4.45,1.02,06/12/2016,PC||Xbox One,Capcom Vancouver,Action,"Metacritic, VGChartz, VGInsights & Wikipedia"
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,71,5.70,0.14,08/09/2005,Game Boy Advance  || Wii,Tose,Action||Adventure || Platform,"Metacritic, VGChartz, VGInsights & Wikipedia"
The 3rd Birthday,71,6.20,0.52,22/12/2010,PSP||PS Vita,Square Enix,Shooter||RPG||Strategy,"Metacritic, VGChartz, VGInsights & Wikipedia"
Hatoful Boyfriend,70,6.65,0.28,03/09/2014,iOS||Android||Linux||PC||macOS||PS Vita||PlayStation 4,Devolver Digital||Mediatonic||The Irregular||Hato Moa,Adventure||Simulation,"Metacritic, VGChartz, VGInsights & Wikipedia"
Lemmings,68,7.10,0.86,01/01/1991,iOS||Genesis||Classic Macintosh||NES||PlayStation||Game Boy||PlayStation 3||PC||Atari ST||3DO||SNES||SEGA Master System||Game Gear||Commodore / Amiga,Sony Interactive Entertainment||Rockstar North||DMA Design||SAD PUPPY,Action||Strategy||Arcade||Puzzle,"Metacritic, VGChartz, VGInsights & Wikipedia"
Secret of Mana,67,7.23,2.12,21/12/2010,iOS||Android||PS Vita||PC||PlayStation 4,Square Enix,Action||RPG,"Metacritic, VGChartz, VGInsights & Wikipedia"
Disney's A Christmas Carol,66,6.40,0.24,03/11/2009,Nintendo DS,Sumo Digital,Adventure,"Metacritic, VGChartz, VGInsights & Wikipedia"
Batman: Arkham Origins,63,6.90,6.47,16/10/2013,PC||PlayStation 3||Xbox 360,Warner Bros. Interactive||Splash Damage||WB Games Montreal,Action||Adventure,"Metacritic, VGChartz, VGInsights & Wikipedia"
The Grinch,53,7.80,0.52,01/01/2000,PC||Dreamcast||PlayStation||Game Boy Color,Konami Digital Entertainment||Behaviour Interactive||Konami Computer Entertainment Nagoya||Artificial Mind & Movement||Universal Interactive Studios,Arcade||Platformer,"Metacritic, VGChartz, VGInsights & Wikipedia"
Die Hard Trilogy,80,7.40,2,01/01/1996,PC||PlayStation||SEGA Saturn,Acclaim Cheltenham||Probe Entertainment,Action||Shooter||Racing||Arcade,"Metacritic, VGChartz, VGInsights & Wikipedia"
