layer,air,stone,water,bedrock,andesite,diorite,dirt,granite,cave_air,gravel,coal_ore,grass_block,iron_ore,lava,sand,oak_leaves,sandstone,snow,redstone_ore,spruce_leaves,dark_oak_leaves,kelp_plant,birch_leaves,gold_ore,tall_seagrass,dark_oak_log,grass,seagrass,oak_planks,oak_log,infested_stone,kelp,lapis_ore,ice,diamond_ore,spruce_log,oak_fence,packed_ice,bubble_column,obsidian,birch_log,snow_block,rail,stone_bricks,cobblestone,red_mushroom_block,cobweb,clay,vine,tall_grass,mossy_stone_bricks,large_fern,emerald_ore,poppy,cracked_stone_bricks,mossy_cobblestone,magma_block,fern,dandelion,grass_path,acacia_leaves,brown_mushroom_block,spruce_planks,mushroom_stem,oak_stairs,lily_pad,dark_oak_planks,infested_stone_bricks,smooth_sandstone,azure_bluet,spruce_stairs,oxeye_daisy,rose_bush,cornflower,dead_bush,bone_block,dark_oak_stairs,lilac,stripped_spruce_log,white_tulip,pink_tulip,peony,allium,red_tulip,orange_tulip,sugar_cane,jungle_planks,stripped_spruce_wood,blue_ice,lily_of_the_valley,iron_bars,spruce_slab,cactus,acacia_log,spruce_fence,bookshelf,wall_torch,sweet_berry_bush,chest,spawner,chiseled_stone_bricks,farmland,cut_sandstone,sunflower,smooth_stone_slab,smooth_sandstone_slab,potatoes,oak_door,cobblestone_stairs,jungle_fence,glass_pane,sandstone_slab,jungle_stairs,pumpkin,iron_door,dark_oak_fence,birch_planks,jungle_slab,ladder,blue_orchid,dark_oak_slab,polished_granite,smooth_sandstone_stairs,white_terracotta,hay_block,stone_brick_stairs,oak_trapdoor,stone_button,lantern,spruce_door,brown_mushroom,wheat,red_mushroom,stripped_oak_log,jungle_button,dark_oak_trapdoor,spruce_trapdoor,oak_slab,terracotta,cobblestone_wall,torch,white_bed,white_carpet,stone_brick_slab,jungle_door,blue_bed,birch_stairs,birch_fence,carrots,furnace,birch_slab,diorite_wall,bricks,cauldron,sandstone_wall,bee_nest,end_portal_frame,composter,potted_cactus,yellow_bed,red_bed,light_gray_carpet,beetroots,sea_lantern,prismarine,green_bed,yellow_carpet,oak_pressure_plate,stripped_oak_wood,diorite_stairs,red_carpet,cyan_bed,infested_chiseled_stone_bricks,bell,dark_oak_door,jungle_trapdoor,lime_bed,crafting_table,infested_mossy_stone_bricks,lime_terracotta,polished_andesite,grindstone,oak_wall_sign,brewing_stand,redstone_torch,sandstone_stairs,lectern,stonecutter,cartography_table,loom,blast_furnace,melon_stem,fletching_table,potted_dead_bush,smooth_stone,potted_dandelion,white_wool,oak_fence_gate,spruce_fence_gate,white_glazed_terracotta,smithing_table,yellow_wool,blue_carpet,sea_pickle,smoker
0,0,0,0,4082944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,648343,0,3266123,40359,37880,13902,37134,0,10850,10758,0,6434,0,0,0,0,0,8401,0,0,0,0,1272,0,0,0,0,0,0,226,0,205,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1251124,46,2448128,77042,72440,26651,70277,38,20195,20443,0,12640,61941,0,0,0,0,16525,0,0,0,0,2479,0,0,0,0,0,0,415,0,530,0,2026,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1868213,345,1631428,115590,108469,40796,106260,142,30451,30823,0,18812,98604,0,0,0,0,24599,0,0,0,0,3754,0,0,0,0,4,0,702,0,858,0,3050,0,20,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2478616,1175,814625,155508,146335,54453,142442,216,41375,40882,0,25109,138444,0,0,0,0,32561,0,0,0,0,4889,0,0,0,0,14,0,874,0,1225,0,3867,0,16,0,0,95,0,0,0,0,0,0,1,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3085067,1160,0,194309,185664,66963,179215,2981,51908,50736,0,30542,178674,0,0,0,0,41076,0,0,0,0,6254,0,0,0,0,30,0,1170,0,1813,0,5004,0,4,0,0,127,0,0,0,0,2,0,1,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3076497,1332,0,192283,187343,66141,180652,4584,52161,50330,0,30410,185229,0,0,0,0,41015,0,0,0,0,6279,0,0,0,0,12,0,1169,0,2123,0,5048,0,8,0,0,61,0,0,6,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,3074388,1025,0,189127,186445,65062,179075,5842,52468,50202,0,30313,192681,0,0,0,0,41117,0,0,0,0,6078,0,0,0,0,24,0,1224,0,2468,0,5005,0,52,0,0,82,0,0,31,0,0,0,2,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,3072379,1524,0,188047,184869,64055,177430,6624,52121,51160,0,31184,197075,0,0,0,0,41051,0,0,0,0,5899,0,0,0,0,65,0,1288,0,2556,0,5048,0,198,0,0,34,0,0,52,0,0,0,17,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3070928,1171,0,188304,183782,63324,174691,7903,51778,51129,0,30740,201842,3,0,0,0,40922,0,0,0,0,6065,0,0,0,0,144,0,1250,0,3097,0,5023,0,270,0,0,112,0,0,70,0,8,0,45,0,0,0,0,0,286,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
