README: This is The Witcher 3 Gwent game data sourced from https://witcher.fandom.com/wiki/Gwent. Viewer discretion advised due to profanity.,,,,,,
,,,,,,
Card Pack,Card Name,Type,Row,Strength,Ability,Retrieval Source
Monsters,Arachas,Unit,Close Combat,4,Muster: Find any cards with the same name in your deck and play them instantly.,1 purchased from Arinbjorn's innkeep
Monsters,Arachas,Unit,Close Combat,4,Muster: Find any cards with the same name in your deck and play them instantly.,1 purchased from Urialla Harbor's innkeep
Monsters,Arachas,Unit,Close Combat,4,Muster: Find any cards with the same name in your deck and play them instantly.,1 purchased from Svorlag's innkeep
Monsters,Arachas Behemoth,Unit,Siege,6,Muster: Find any cards with the same name in your deck and play them instantly.,Random reward from gwent players
Monsters,Botchling,Unit,Close Combat,4,,Purchased from Jonas at The New Port
Monsters,Celaeno Harpy,Unit,Close or Ranged Combat,2,Agile: Can be placed in either the Close Combat or the Ranged Combat row. Cannot be moved once placed.,Random reward from gwent players
Monsters,Cockatrice,Unit,Ranged Combat,2,,Random reward from gwent players
Monsters,Crone: Brewess,Unit,Close Combat,6,Muster: Find any cards with the same name in your deck and play them instantly.,Random reward from gwent players
Monsters,Crone: Weavess,Unit,Close Combat,6,Muster: Find any cards with the same name in your deck and play them instantly.,Won from the Old Sage during Gwent: Velen Players
Monsters,Crone: Whispess,Unit,Close Combat,6,Muster: Find any cards with the same name in your deck and play them instantly.,Purchased from Arinbjorn's innkeep
Monsters,Draug,Hero,Close Combat,10,Hero: Not affected by any Special Cards or abilities.,Won from Crach an Craite during Gwent: Skellige Style
Monsters,Earth Elemental,Unit,Siege,6,,Purchased from Jonas at The New Port
Monsters,Endrega,Unit,Ranged Combat,2,,Random reward from gwent players
Monsters,Eredin Bréacc Glas: The Treacherous,Leader,N/A,N/A,Doubles the strength of all spy cards (affects both players).,Purchased from Dulla kh'Amanni in Upper Mill
Monsters,Eredin: Bringer of Death,Leader,N/A,N/A,Restore a card from your discard pile to your hand.,Won from Count Tybalt during High Stakes
Monsters,Eredin: Commander of the Red Riders,Leader,N/A,N/A,Double the strength of all your Close Combat units (unless a Commander's horn is also present on that row).,Purchased from Jonas at The New Port
Monsters,Eredin: Destroyer of Worlds,Leader,N/A,N/A,Discard 2 card and draw 1 card of your choice from your deck.,Won during Gwent: Velen Players
Monsters,Eredin: King of the Wild Hunt,Leader,N/A,N/A,Pick any weather card from your deck and play it instantly.,Part of the base deck
Monsters,Fiend,Unit,Close Combat,6,,Purchased from Arinbjorn's innkeep
Monsters,Fire Elemental,Unit,Siege,6,,Random reward from gwent players
Monsters,Foglet,Unit,Close Combat,2,,Purchased from Svorlag's innkeep
Monsters,Forktail,Unit,Close Combat,5,,Random reward from gwent players
Monsters,Frightener,Unit,Close Combat,5,,Random reward from gwent players
Monsters,Gargoyle,Unit,Ranged Combat,2,,Random reward from gwent players
Monsters,Ghoul,Unit,Close Combat,1,Muster: Find any cards with the same name in your deck and play them instantly.,2 are random rewards from gwent players
Monsters,Ghoul,Unit,Close Combat,1,Muster: Find any cards with the same name in your deck and play them instantly.,1 purchased from Harviken's innkeep
Monsters,Grave Hag,Unit,Ranged Combat,5,,Random reward from gwent players
Monsters,Griffin,Unit,Close Combat,5,,Random reward from gwent players
Monsters,Harpy,Unit,Close or Ranged Combat,2,Agile: Can be placed in either the Close Combat or the Ranged Combat row. Cannot be moved once placed.,Purchased from Harviken's innkeep
Monsters,Ice Giant,Unit,Siege,5,,Purchased from Svorlag's innkeep
Monsters,Imlerith,Hero,Close Combat,10,Hero: Not affected by any Special Cards or abilities.,Random reward from gwent players
Monsters,Kayran,Hero,Close or Ranged Combat,8,Hero: Not affected by any Special Cards or abilities.,Random reward from gwent players
Monsters,Kayran,Hero,Close or Ranged Combat,8,Morale boost: Adds +1 to all units in the row (excluding itself).,
Monsters,Kayran,Hero,Close or Ranged Combat,8,Agile: Can be placed in either the Close Combat or the Ranged Combat row. Cannot be moved once placed.,
Monsters,Leshen,Hero,Ranged Combat,10,Hero: Not affected by any Special Cards or abilities.,Won from Ermion during Gwent: Skellige Style
Monsters,Nekker,Unit,Close Combat,2,Muster: Find any cards with the same name in your deck and play them instantly.,1 obtained during Following the Thread off Hammond's corpse
Monsters,Nekker,Unit,Close Combat,2,Muster: Find any cards with the same name in your deck and play them instantly.,1 purchased from Harviken's innkeep
Monsters,Nekker,Unit,Close Combat,2,Muster: Find any cards with the same name in your deck and play them instantly.,1 as random reward from gwent players
Monsters,Plague Maiden,Unit,Close Combat,5,,Random reward from gwent players
Monsters,Toad,Unit,Ranged Combat,7,Scorch - Ranged: Destroy your enemy's strongest Ranged Combat unit(s) if the combined strength of all his or her Ranged Combat units is 10 or more.,Won from Olgierd von Everec
Monsters,Vampire: Bruxa,Unit,Close Combat,4,Muster: Find any cards with the same name in your deck and play them instantly,Won during A Matter of Life and Death
Monsters,Vampire: Bruxa,Unit,Close Combat,4,Muster: Find any cards with the same name in your deck and play them instantly,Blood and Wine expansion: Rewarded for removing Louis' urn in Till Death Do You Part
Monsters,Vampire: Ekimmara,Unit,Close Combat,4,Muster: Find any cards with the same name in your deck and play them instantly,Purchased from Svorlag's innkeep
Monsters,Vampire: Fleder,Unit,Close Combat,4,Muster: Find any cards with the same name in your deck and play them instantly,Purchased from Harviken's innkeep
