Stage_1,Stage_2,Stage_3,pokedex_number,gen_introduced,dimension,stage_1_values,stage_2_values,stage_3_values,dimension_type
Bulbasaur,Ivysaur,Venusaur,1,1,hp,45,60,80,Combat Factors
Bulbasaur,Ivysaur,Venusaur,1,1,attack,49,62,82,Combat Factors
Bulbasaur,Ivysaur,Venusaur,1,1,defense,49,63,83,Combat Factors
Bulbasaur,Ivysaur,Venusaur,1,1,special_attack,65,80,100,Combat Factors
Bulbasaur,Ivysaur,Venusaur,1,1,special_defense,65,80,100,Combat Factors
Bulbasaur,Ivysaur,Venusaur,1,1,speed,45,60,80,Combat Factors
Bulbasaur,Ivysaur,Venusaur,1,1,height,7,10,20,Physical Dimensions
Bulbasaur,Ivysaur,Venusaur,1,1,weight,69,130,1000,Physical Dimensions
Charmander,Charmeleon,Charizard,4,1,hp,39,58,78,Combat Factors
Charmander,Charmeleon,Charizard,4,1,attack,52,64,84,Combat Factors
Charmander,Charmeleon,Charizard,4,1,defense,43,58,78,Combat Factors
Charmander,Charmeleon,Charizard,4,1,special_attack,60,80,109,Combat Factors
Charmander,Charmeleon,Charizard,4,1,special_defense,50,65,85,Combat Factors
Charmander,Charmeleon,Charizard,4,1,speed,65,80,100,Combat Factors
Charmander,Charmeleon,Charizard,4,1,height,6,11,17,Physical Dimensions
Charmander,Charmeleon,Charizard,4,1,weight,85,190,905,Physical Dimensions
Squirtle,Wartortle,Blastoise,7,1,hp,44,59,79,Combat Factors
Squirtle,Wartortle,Blastoise,7,1,attack,48,63,83,Combat Factors
Squirtle,Wartortle,Blastoise,7,1,defense,65,80,100,Combat Factors
Squirtle,Wartortle,Blastoise,7,1,special_attack,50,65,85,Combat Factors
Squirtle,Wartortle,Blastoise,7,1,special_defense,64,80,105,Combat Factors
Squirtle,Wartortle,Blastoise,7,1,speed,43,58,78,Combat Factors
Squirtle,Wartortle,Blastoise,7,1,height,5,10,16,Physical Dimensions
Squirtle,Wartortle,Blastoise,7,1,weight,90,225,855,Physical Dimensions
Caterpie,Metapod,Butterfree,10,1,hp,45,50,60,Combat Factors
Caterpie,Metapod,Butterfree,10,1,attack,30,20,45,Combat Factors
Caterpie,Metapod,Butterfree,10,1,defense,35,55,50,Combat Factors
Caterpie,Metapod,Butterfree,10,1,special_attack,20,25,90,Combat Factors
Caterpie,Metapod,Butterfree,10,1,special_defense,20,25,80,Combat Factors
Caterpie,Metapod,Butterfree,10,1,speed,45,30,70,Combat Factors
Caterpie,Metapod,Butterfree,10,1,height,3,7,11,Physical Dimensions
Caterpie,Metapod,Butterfree,10,1,weight,29,99,320,Physical Dimensions
Weedle,Kakuna,Beedrill,13,1,hp,40,45,65,Combat Factors
Weedle,Kakuna,Beedrill,13,1,attack,35,25,90,Combat Factors
Weedle,Kakuna,Beedrill,13,1,defense,30,50,40,Combat Factors
Weedle,Kakuna,Beedrill,13,1,special_attack,20,25,45,Combat Factors
Weedle,Kakuna,Beedrill,13,1,special_defense,20,25,80,Combat Factors
Weedle,Kakuna,Beedrill,13,1,speed,50,35,75,Combat Factors
Weedle,Kakuna,Beedrill,13,1,height,3,6,10,Physical Dimensions
Weedle,Kakuna,Beedrill,13,1,weight,32,100,295,Physical Dimensions
Pidgey,Pidgeotto,Pidgeot,16,1,hp,40,63,83,Combat Factors
Pidgey,Pidgeotto,Pidgeot,16,1,attack,45,60,80,Combat Factors
Pidgey,Pidgeotto,Pidgeot,16,1,defense,40,55,75,Combat Factors
Pidgey,Pidgeotto,Pidgeot,16,1,special_attack,35,50,70,Combat Factors
Pidgey,Pidgeotto,Pidgeot,16,1,special_defense,35,50,70,Combat Factors
Pidgey,Pidgeotto,Pidgeot,16,1,speed,56,71,101,Combat Factors
Pidgey,Pidgeotto,Pidgeot,16,1,height,3,11,15,Physical Dimensions
Pidgey,Pidgeotto,Pidgeot,16,1,weight,18,300,395,Physical Dimensions
Rattata,Raticate,,19,1,hp,30,55,,Combat Factors
Rattata,Raticate,,19,1,attack,56,81,,Combat Factors
Rattata,Raticate,,19,1,defense,35,60,,Combat Factors
Rattata,Raticate,,19,1,special_attack,25,50,,Combat Factors
Rattata,Raticate,,19,1,special_defense,35,70,,Combat Factors
Rattata,Raticate,,19,1,speed,72,97,,Combat Factors
Rattata,Raticate,,19,1,height,3,7,,Physical Dimensions
Rattata,Raticate,,19,1,weight,35,185,,Physical Dimensions
Spearow,Fearow,,21,1,hp,40,65,,Combat Factors
Spearow,Fearow,,21,1,attack,60,90,,Combat Factors
Spearow,Fearow,,21,1,defense,30,65,,Combat Factors
Spearow,Fearow,,21,1,special_attack,31,61,,Combat Factors
Spearow,Fearow,,21,1,special_defense,31,61,,Combat Factors
Spearow,Fearow,,21,1,speed,70,100,,Combat Factors
Spearow,Fearow,,21,1,height,3,12,,Physical Dimensions
Spearow,Fearow,,21,1,weight,20,380,,Physical Dimensions
Ekans,Arbok,,23,1,hp,35,60,,Combat Factors
Ekans,Arbok,,23,1,attack,60,95,,Combat Factors
Ekans,Arbok,,23,1,defense,44,69,,Combat Factors
Ekans,Arbok,,23,1,special_attack,40,65,,Combat Factors
Ekans,Arbok,,23,1,special_defense,54,79,,Combat Factors
Ekans,Arbok,,23,1,speed,55,80,,Combat Factors
Ekans,Arbok,,23,1,height,20,35,,Physical Dimensions
Ekans,Arbok,,23,1,weight,69,650,,Physical Dimensions
Pichu,Pikachu,Raichu,172,2,hp,20,35,60,Combat Factors
Pichu,Pikachu,Raichu,172,2,attack,40,55,90,Combat Factors
Pichu,Pikachu,Raichu,172,2,defense,15,40,55,Combat Factors
Pichu,Pikachu,Raichu,172,2,special_attack,35,50,90,Combat Factors
Pichu,Pikachu,Raichu,172,2,special_defense,35,50,80,Combat Factors
Pichu,Pikachu,Raichu,172,2,speed,60,90,110,Combat Factors
Pichu,Pikachu,Raichu,172,2,height,3,4,8,Physical Dimensions
Pichu,Pikachu,Raichu,172,2,weight,20,60,300,Physical Dimensions
Sandshrew,Sandslash,,27,1,hp,50,75,,Combat Factors
Sandshrew,Sandslash,,27,1,attack,75,100,,Combat Factors
Sandshrew,Sandslash,,27,1,defense,85,110,,Combat Factors
Sandshrew,Sandslash,,27,1,special_attack,20,45,,Combat Factors
Sandshrew,Sandslash,,27,1,special_defense,30,55,,Combat Factors
Sandshrew,Sandslash,,27,1,speed,40,65,,Combat Factors
Sandshrew,Sandslash,,27,1,height,6,10,,Physical Dimensions
Sandshrew,Sandslash,,27,1,weight,120,295,,Physical Dimensions
Nidoran F,Nidorina,Nidoqueen,29,1,hp,55,70,90,Combat Factors
Nidoran F,Nidorina,Nidoqueen,29,1,attack,47,62,92,Combat Factors
Nidoran F,Nidorina,Nidoqueen,29,1,defense,52,67,87,Combat Factors
Nidoran F,Nidorina,Nidoqueen,29,1,special_attack,40,55,75,Combat Factors
Nidoran F,Nidorina,Nidoqueen,29,1,special_defense,40,55,85,Combat Factors
Nidoran F,Nidorina,Nidoqueen,29,1,speed,41,56,76,Combat Factors
Nidoran F,Nidorina,Nidoqueen,29,1,height,4,8,13,Physical Dimensions
Nidoran F,Nidorina,Nidoqueen,29,1,weight,70,200,600,Physical Dimensions
Nidoran M,Nidorino,Nidoking,32,1,hp,46,61,81,Combat Factors
Nidoran M,Nidorino,Nidoking,32,1,attack,57,72,102,Combat Factors
Nidoran M,Nidorino,Nidoking,32,1,defense,40,57,77,Combat Factors
Nidoran M,Nidorino,Nidoking,32,1,special_attack,40,55,85,Combat Factors
Nidoran M,Nidorino,Nidoking,32,1,special_defense,40,55,75,Combat Factors
Nidoran M,Nidorino,Nidoking,32,1,speed,50,65,85,Combat Factors
Nidoran M,Nidorino,Nidoking,32,1,height,5,9,14,Physical Dimensions
Nidoran M,Nidorino,Nidoking,32,1,weight,90,195,620,Physical Dimensions
Cleffa,Clefairy,Clefable,173,2,hp,50,70,95,Combat Factors
Cleffa,Clefairy,Clefable,173,2,attack,25,45,70,Combat Factors
Cleffa,Clefairy,Clefable,173,2,defense,28,48,73,Combat Factors
Cleffa,Clefairy,Clefable,173,2,special_attack,45,60,95,Combat Factors
Cleffa,Clefairy,Clefable,173,2,special_defense,55,65,90,Combat Factors
Cleffa,Clefairy,Clefable,173,2,speed,15,35,60,Combat Factors
Cleffa,Clefairy,Clefable,173,2,height,3,6,13,Physical Dimensions
Cleffa,Clefairy,Clefable,173,2,weight,30,75,400,Physical Dimensions
Vulpix,Ninetales,,37,1,hp,38,73,,Combat Factors
Vulpix,Ninetales,,37,1,attack,41,76,,Combat Factors
Vulpix,Ninetales,,37,1,defense,40,75,,Combat Factors
Vulpix,Ninetales,,37,1,special_attack,50,81,,Combat Factors
Vulpix,Ninetales,,37,1,special_defense,65,100,,Combat Factors
Vulpix,Ninetales,,37,1,speed,65,100,,Combat Factors
Vulpix,Ninetales,,37,1,height,6,11,,Physical Dimensions
Vulpix,Ninetales,,37,1,weight,99,199,,Physical Dimensions
Igglybuff,Jigglypuff,Wigglytuff,174,2,hp,90,115,140,Combat Factors
Igglybuff,Jigglypuff,Wigglytuff,174,2,attack,30,45,70,Combat Factors
Igglybuff,Jigglypuff,Wigglytuff,174,2,defense,15,20,45,Combat Factors
Igglybuff,Jigglypuff,Wigglytuff,174,2,special_attack,40,45,85,Combat Factors
Igglybuff,Jigglypuff,Wigglytuff,174,2,special_defense,20,25,50,Combat Factors
Igglybuff,Jigglypuff,Wigglytuff,174,2,speed,15,20,45,Combat Factors
Igglybuff,Jigglypuff,Wigglytuff,174,2,height,3,5,10,Physical Dimensions
Igglybuff,Jigglypuff,Wigglytuff,174,2,weight,10,55,120,Physical Dimensions
Zubat,Golbat,Crobat,41,1,hp,40,75,85,Combat Factors
Zubat,Golbat,Crobat,41,1,attack,45,80,90,Combat Factors
Zubat,Golbat,Crobat,41,1,defense,35,70,80,Combat Factors
Zubat,Golbat,Crobat,41,1,special_attack,30,65,70,Combat Factors
Zubat,Golbat,Crobat,41,1,special_defense,40,75,80,Combat Factors
Zubat,Golbat,Crobat,41,1,speed,55,90,130,Combat Factors
Zubat,Golbat,Crobat,41,1,height,8,16,18,Physical Dimensions
Zubat,Golbat,Crobat,41,1,weight,75,550,750,Physical Dimensions
Oddish,Gloom,Vileplume,43,1,hp,45,60,75,Combat Factors
Oddish,Gloom,Vileplume,43,1,attack,50,65,80,Combat Factors
Oddish,Gloom,Vileplume,43,1,defense,55,70,85,Combat Factors
Oddish,Gloom,Vileplume,43,1,special_attack,75,85,110,Combat Factors
Oddish,Gloom,Vileplume,43,1,special_defense,65,75,90,Combat Factors
Oddish,Gloom,Vileplume,43,1,speed,30,40,50,Combat Factors
Oddish,Gloom,Vileplume,43,1,height,5,8,12,Physical Dimensions
Oddish,Gloom,Vileplume,43,1,weight,54,86,186,Physical Dimensions
Oddish,Gloom,Bellossom,43,1,hp,45,60,75,Combat Factors
Oddish,Gloom,Bellossom,43,1,attack,50,65,80,Combat Factors
Oddish,Gloom,Bellossom,43,1,defense,55,70,95,Combat Factors
Oddish,Gloom,Bellossom,43,1,special_attack,75,85,90,Combat Factors
Oddish,Gloom,Bellossom,43,1,special_defense,65,75,100,Combat Factors
Oddish,Gloom,Bellossom,43,1,speed,30,40,50,Combat Factors
Oddish,Gloom,Bellossom,43,1,height,5,8,4,Physical Dimensions
Oddish,Gloom,Bellossom,43,1,weight,54,86,58,Physical Dimensions
Paras,Parasect,,46,1,hp,35,60,,Combat Factors
Paras,Parasect,,46,1,attack,70,95,,Combat Factors
Paras,Parasect,,46,1,defense,55,80,,Combat Factors
Paras,Parasect,,46,1,special_attack,45,60,,Combat Factors
Paras,Parasect,,46,1,special_defense,55,80,,Combat Factors
Paras,Parasect,,46,1,speed,25,30,,Combat Factors
Paras,Parasect,,46,1,height,3,10,,Physical Dimensions
Paras,Parasect,,46,1,weight,54,295,,Physical Dimensions
Venonat,Venomoth,,48,1,hp,60,70,,Combat Factors
Venonat,Venomoth,,48,1,attack,55,65,,Combat Factors
Venonat,Venomoth,,48,1,defense,50,60,,Combat Factors
Venonat,Venomoth,,48,1,special_attack,40,90,,Combat Factors
Venonat,Venomoth,,48,1,special_defense,55,75,,Combat Factors
Venonat,Venomoth,,48,1,speed,45,90,,Combat Factors
Venonat,Venomoth,,48,1,height,10,15,,Physical Dimensions
Venonat,Venomoth,,48,1,weight,300,125,,Physical Dimensions
Diglett,Dugtrio,,50,1,hp,10,35,,Combat Factors
Diglett,Dugtrio,,50,1,attack,55,100,,Combat Factors
Diglett,Dugtrio,,50,1,defense,25,50,,Combat Factors
Diglett,Dugtrio,,50,1,special_attack,35,50,,Combat Factors
Diglett,Dugtrio,,50,1,special_defense,45,70,,Combat Factors
