player_name,time,time_in_seconds,date,video,level,difficulty,url
DuskyLW,0m 50s,50,01-May-20,https://www.speedrun.com/ge60fps/run/mrk9qjdy,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Acadie,0m 50s,50,10-Dec-21,https://www.speedrun.com/ge60fps/run/y6n7496z,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
JDBlack721,0m 51s,51,24-Jun-18,https://www.speedrun.com/ge60fps/run/y8v20gdz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
LQwerty,0m 51s,51,21-Sep-18,https://www.speedrun.com/ge60fps/run/z15dpxry,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Marc-André_Morin,0m 51s,51,24-Feb-19,https://www.speedrun.com/ge60fps/run/y4wj4pqm,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
SleeperJohns,0m 51s,51,27-Mar-20,https://www.speedrun.com/ge60fps/run/yw8e653y,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Kierkan,0m 51s,51,28-Apr-20,https://www.speedrun.com/ge60fps/run/yokkeo7z,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
DaGuy,0m 51s,51,25-Aug-20,https://www.speedrun.com/ge60fps/run/znknj4vz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
BK,0m 51s,51,09-Sep-20,https://www.speedrun.com/ge60fps/run/yo3vqojy,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
MOOMAN,0m 51s,51,19-Sep-20,https://www.speedrun.com/ge60fps/run/ylv4052m,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Onslatt,0m 51s,51,03-Nov-20,https://www.speedrun.com/ge60fps/run/zn30ee3y,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
darkstar12,0m 51s,51,23-Nov-20,https://www.speedrun.com/ge60fps/run/yo3lx2jy,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
fruitwhoops,0m 51s,51,26-Jan-21,https://www.speedrun.com/ge60fps/run/ylok353y,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Deyrenkenin,0m 51s,51,31-Jan-21,https://www.speedrun.com/ge60fps/run/yd90g6qz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
jgn,0m 51s,51,19-Feb-21,https://www.speedrun.com/ge60fps/run/y2vpoewz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
joshtheghost56k,0m 51s,51,21-Sep-21,https://www.speedrun.com/ge60fps/run/m772qj0m,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
DistractedInsanity,0m 51s,51,15-Oct-21,https://www.speedrun.com/ge60fps/run/zn0x1gly,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
iiFever,0m 51s,51,27-Oct-21,https://www.speedrun.com/ge60fps/run/y93e092y,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Vesly,0m 51s,51,04-Jan-22,https://www.speedrun.com/ge60fps/run/m7w8lowz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
qaexd,0m 51s,51,04-Jan-22,https://www.speedrun.com/ge60fps/run/y20g2p6m,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
g0dz,0m 52s,52,29-Jul-20,https://www.speedrun.com/ge60fps/run/yw82dvpy,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Thetrashmaster,0m 52s,52,21-Sep-20,https://www.speedrun.com/ge60fps/run/ylv477km,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
erikthedirector,0m 52s,52,29-Sep-20,https://www.speedrun.com/ge60fps/run/yd06exxz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Arumin,0m 52s,52,04-Jan-21,https://www.speedrun.com/ge60fps/run/zgv04nnz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
teny,0m 52s,52,20-Jan-21,https://www.speedrun.com/ge60fps/run/z063rnez,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Nana7ZX,0m 52s,52,12-Apr-21,https://www.speedrun.com/ge60fps/run/zq1k271m,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Retroflex,0m 52s,52,20-Jun-21,https://www.speedrun.com/ge60fps/run/me7g370y,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Saber64,0m 52s,52,19-Jul-21,https://www.speedrun.com/ge60fps/run/zn1drq8m,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
200Rounds,0m 52s,52,04-Oct-21,https://www.speedrun.com/ge60fps/run/zgr8ewvm,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
kuwuabarra,0m 52s,52,08-Oct-21,https://www.speedrun.com/ge60fps/run/ylrd0kxy,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
ScottyAV,0m 52s,52,15-Oct-21,https://www.speedrun.com/ge60fps/run/me4g93qy,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
Toad_N64,0m 52s,52,04-Dec-21,https://www.speedrun.com/ge60fps/run/zgdnrevz,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
jdlockefeller2002,0m 53s,53,01-Apr-20,https://www.speedrun.com/ge60fps/run/z1531ery,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
SuperTiaanBro,0m 53s,53,10-Jan-21,https://www.speedrun.com/ge60fps/run/ylvgxwkm,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
DeloreanWc,0m 53s,53,16-Jan-21,https://www.speedrun.com/ge60fps/run/ylo94rry,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
trapmixRCF,0m 53s,53,22-Jan-21,https://www.speedrun.com/ge60fps/run/y66pjr6y,Dam,Agent,https://www.speedrun.com/ge60fps/level/Dam
