id,name,thumbnail,Vehicle Class,Manufacturer,Available from,Storage Location,Modifications,Title Update,Sell,Release Date,Based on (Real Life Vehicle),In-Game Model Name,Seats / Capacity,Weight (KG),Drivetrain,Gears,Request Delivery,Game Edition/Mode,Top Speed - Real (Broughy),GTA Online Price,Sell Price - Resale,Speed (Stat),Acceleration,Braking,Handling (Traction / Agility),Overall Rating,Vehicle Feature 1,Vehicle Feature 2,Source,Last Updated
4827,Youga Custom,https://www.gtabase.com/images/gta-5/vehicles/temp/resized/youga-custom_320x180.jpg,Vans,Bravado,Cannot be acquired,Cannot be stored,Cannot be modified,1.58 The Contract,Cannot be sold,2021-12-15,"Custom van in the 1978 Cheech & Chong film ""Up In Smoke""",youga4,4,2500,Rear-Wheel Drive,5,Cannot be requested,GTA Online,97.25,,,,,,,,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4826,Granger 3600LX,https://www.gtabase.com/images/gta-5/vehicles/temp/resized/granger-3600lx_320x180.jpg,SUVs,Declasse,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2022-01-27,2015 - 2020 Chevrolet Suburban,granger2,8,2100,All-Wheel Drive,4,Mechanic,GTA Online,96.75,1380000,828000,76.190292,51.874996,28,66.060608,55.531474,Armored Vehicle,Imani Tech,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4825,I-Wagen,https://www.gtabase.com/images/gta-5/vehicles/temp/resized/iwagen_320x180.jpg,SUVs,Obey,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2022-01-20,Audi e-tron (2018),iwagen,4,2445,All-Wheel Drive,1,Mechanic,GTA Online,91.5,1729000,1032000,68.678574,57.875,25.833332,71.666672,56.013395,Electric Vehicle,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4824,Patriot Mil-Spec,https://www.gtabase.com/images/gta-5/vehicles/off-road/main/resized/patriot-mil-spec_320x180.jpg,Off-Road,Mammoth,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-30,Hummer H1 SUV,patriot3,4,3430,All-Wheel Drive,4,Mechanic,GTA Online,96,1710000,1026000,68.678574,57.5,16.166668,60.151516,50.62419,Imani Tech,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4823,Baller ST,https://www.gtabase.com/images/gta-5/vehicles/temp/resized/baller-st_320x180.jpg,SUVs,Gallivanter,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-23,Range Rover SVAutobiography,baller7,4,2370,All-Wheel Drive,7,Mechanic,GTA Online,112,890000,534000,,,,,,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4822,Reever,https://www.gtabase.com/images/gta-5/vehicles/temp/resized/reever_320x180.jpg,Motorcycles,Western,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2022-02-03,ARCH Method 143,reever,1,205,Rear-Wheel Drive,5,Mechanic,GTA Online,163,1900000,1140000,81.126556,100,43.333332,66.666672,72.78164,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4821,Shinobi,https://www.gtabase.com/images/gta-5/vehicles/temp/resized/shinobi_320x180.jpg,Motorcycles,Nagasaki,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2022-01-13,Japanese sport bike Kawasaki Ninja,shinobi,1,165,Rear-Wheel Drive,6,Mechanic,GTA Online,125.25,2480500,1488300,83.916626,90.625,41.666664,69.696968,71.476315,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4820,Comet S2 Cabrio,https://www.gtabase.com/images/gta-5/vehicles/sports/main/resized/comet-s2-cabrio_320x180.jpg,Sports,Pfister,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2022-01-06,Porsche 911 Turbo S Cabriolet,comet7,2,1650,Rear-Wheel Drive,8,Mechanic,GTA Online,129,1797000,1078200,83.755669,87.375,29.666666,100,75.199334,Convertible (Soft-top),,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4819,Zeno,https://www.gtabase.com/images/gta-5/vehicles/super/main/resized/zeno_320x180.jpg,Super,Overflod,Legendary Motorsport,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-23,SSC Tuatara,zeno,2,1250,Rear-Wheel Drive,7,Mechanic,GTA Online,127.5,2820000,1692000,87.350555,97,40,83.333336,76.920973,,,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
4814,Buffalo STX,https://www.gtabase.com/images/gta-5/vehicles/muscle/main/resized/buffalo-stx_320x180.jpg,Muscle,Bravado,Southern S.A. Super Autos,Garage (Personal Vehicle),Los Santos Customs,1.58 The Contract,Can be sold only if purchased (High-End),2021-12-15,2015 Dodge Charger,buffalo4,4,1800,Rear-Wheel Drive,8,Mechanic,GTA Online,126.25,2150000,1290000,85.579941,85.625,31.666666,78.181816,70.263356,Armed Vehicle,Armored Vehicle,https://www.gtabase.com/grand-theft-auto-v/vehicles,2022-03-05
