Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,Source
Prospеring,2476763,1828,4.37,18,10150,36328,81389,4702684,5584,10.71,45.7,12229,71137,133725,299128,244,6.65,31.2,783,3584,10280,3640415,5116,6.88,31.7,16131,75787,117967,101589,170,118,5.78,26.8,634,2682,2865,https://www.kaggle.com/datasets/iyadali/fortnite-players-stats
BH nixxxay,439562,1694,8.71,29.1,5817,35895,12732,4065613,4141,9.49,21.5,19252,143330,119678,6432,4,8.06,19,21,137,207,5275367,4978,10.24,30.3,16433,117327,150439,151358,229,190,8.2,18.2,1259,8442,4206,
Raпger,4519465,4582,9.6,34,13488,85481,122171,1137279,1390,7.78,24.6,5649,33123,31744,990451,716,4.75,26.4,2711,9477,36634,2745537,4435,8.4,32.9,13494,76065,86684,452136,1180,818,11.12,32.9,3583,26726,12273,
Idk_Pi,752869,121,0.84,3.3,3687,3005,32453,5326457,2249,1.02,9.2,24365,22498,223469,612525,209,1.14,8.6,2421,2526,27403,1781544,336,0.87,4.1,8232,6892,80016,1748407,190,246,2.33,5.4,3539,7787,33224,
Twitch.GryphonRB,1136282,1327,6.32,30,4429,19591,36245,3692623,5743,11.13,50.6,11339,62270,93804,703062,900,24.07,78.5,1146,5920,17767,2795511,3445,7.58,36.2,9524,46068,81424,556721,824,600,14.99,53.3,1546,10826,12019,
Twitch Kayotica,2919037,1310,3.23,9.7,13438,39131,96777,1298412,1242,4.19,15.5,8007,28337,37799,1191651,569,2.83,12.5,4545,11253,46158,2644613,1433,3.18,10.1,14152,40507,89472,294971,184,185,4.81,11.7,1566,6654,8296,
FaZe Replays,2389537,1454,3.84,7.8,18670,66161,76258,2508015,1935,4.34,9.6,20249,79433,82553,1296281,482,3.04,8.9,5444,15107,49450,1862087,1224,3.33,9.1,13443,40730,69693,383002,274,259,4.49,7.4,3718,15447,12634,
NiteGamerYT 190k,15872,6,0.47,1.4,429,200,739,6438735,5449,3.52,19.8,27577,77818,217492,227351,119,1.41,13.6,876,1071,8968,780636,359,1.79,8.6,4169,6803,30012,370497,185,267,2.67,8.2,2263,5541,12625,
ᴮᵒˢˢン,6772116,6480,1.39,32.6,19864,18610,283835,118705,65,0.68,2.9,2243,1486,5071,8778,5,1.79,15.2,33,50,366,427129,173,0.64,8.2,2106,1238,19419,827372,118,116,2.01,3.8,3067,5937,19174,
CIUPEA 144.HZ,54479,9,0.61,0.5,1938,1174,2441,5873450,1250,0.91,3.4,36776,32332,270990,151006,49,1,7.2,684,636,6739,1117506,175,0.67,1.7,10100,6695,51058,440353,97,199,1.09,3.2,3048,3205,17273,
曼巴精神のR6,208411,103,4.17,12.2,844,3093,6661,4445608,4216,7.66,35.7,11805,58114,136555,434633,365,6.52,32.2,1133,5009,14707,1887890,1661,9.26,37.7,4404,25407,54963,74063,44,52,6.39,18.4,239,1246,1925,
DarkAssaSSin._,4840719,4295,3.34,30.6,14045,32611,171013,828527,624,1.43,10,6235,8034,32792,77678,54,2.45,19.6,276,543,2981,760129,371,1.41,7.4,5024,6582,29829,1033636,363,470,4.52,8.4,4338,17950,34926,
FLIZ_Mada YT,1665575,535,2.3,5,10596,23161,55978,2138687,1449,2.68,11.8,12303,29084,71098,219822,58,2.03,5.8,1006,1922,8939,2349046,922,2.03,6.5,14146,26850,84044,324591,152,167,2.78,6.5,2350,6101,10619,
Τriρs,478280,25,0.7,1,2581,1785,21679,4601720,2311,1.49,11,20965,27846,190291,594694,269,2.82,12.9,2090,5128,24469,674339,112,0.94,3.5,3221,2930,30968,153388,26,33,1.48,3.8,693,987,3844,
MachiTv,4659548,3166,3.9,19.5,16273,51088,163199,511609,547,3.38,11.1,4942,14838,18234,141858,47,1.93,9,521,914,6923,968797,718,2.88,9.7,7434,19345,36882,225584,162,112,4.44,11.7,1388,5448,6943,
C_D_S_,2469301,612,1.42,4.5,13464,18301,106526,2012404,1331,1.71,10.2,13028,19965,75349,296053,112,1.23,8.8,1279,1435,13825,1387006,603,1.44,6.3,9621,12983,56949,165101,89,101,1.74,5.4,1659,2732,6303,
Mₐₜₜzᵢₗₗₐツ,551309,62,1.59,2.5,2527,3930,22014,4030954,1668,2.31,9.7,17233,35918,158193,322314,134,2.72,11.3,1189,2873,12838,1242103,305,2.01,5.5,5529,10491,49726,123460,18,28,4.71,4.2,432,1949,3610,
prOMancos,4300077,576,1.27,1.8,32898,40942,175643,1001513,266,1.55,4.7,5713,8427,41294,103189,36,2.14,7.6,471,932,4181,642401,104,1.51,2.7,3889,5708,26562,5487,1,1,1.41,1.3,75,104,107,
Scribell,212388,34,1.03,2.3,1491,1505,8945,4956148,4819,5.88,27.4,17565,74993,167749,45995,11,1.39,4.4,249,331,1974,740181,152,1.14,3.3,4572,5057,31925,1130389,39,23,8.27,1.6,2437,19831,30191,
Qx_9u انستا,228620,79,1.03,2.4,3269,3281,8903,3297865,2181,2.04,12.4,17554,31313,113904,397418,376,5.76,35.5,1058,3926,11820,2017689,1123,2.05,10.4,10754,19758,69448,517873,188,211,2.38,9.5,1979,4256,13724,
adore johnnyy,262750,91,1.68,3.2,2853,4641,10758,5215971,1792,1.16,5,36126,39692,232005,112214,34,1.93,5.8,582,1060,4462,340677,142,2.54,8.5,1666,3874,12888,186894,77,116,4.18,9.2,834,3166,5453,
R.e.L.y.T,1896099,453,2.02,4.2,10883,21030,67687,2769727,1599,2.61,14.1,11306,25353,102162,400232,298,4.98,24.8,1200,4490,13167,856972,268,1.87,6.4,4170,7279,33422,107144,30,53,4.47,7.7,388,1599,3769,
RunLaMaJ,3151606,2159,4.96,23.6,9158,34742,99974,1202259,1275,5.41,27.2,4679,18432,37382,198101,99,3.13,14.9,666,1777,7933,1369362,1043,4.43,19.9,5236,18582,45776,77262,45,58,5.53,16.7,270,1244,2415,
Deathfury420,1257973,51,0.95,0.6,8568,8101,55671,1441226,640,1.47,8,7957,10784,56591,19708,4,0.55,3.4,117,62,949,3181094,482,0.88,1.7,28805,24878,130536,49172,10,16,2.17,2.6,390,824,1890,
KING nax nax,1407541,70,0.8,0.7,10460,8356,63105,2668137,593,0.98,3.7,15847,15009,116377,389446,48,0.94,1.9,2512,2327,17951,1406339,93,0.92,0.9,10034,9103,63208,308937,34,65,0.73,1.9,1807,1294,11398,
isDi x,991474,344,1.97,5.5,6306,11744,38410,3034249,2706,4.97,23.1,11695,44700,99684,326192,152,3.79,12.6,1208,4003,13022,1488421,923,2.88,11.1,8294,21208,54444,146397,50,53,3.29,5.1,972,3035,5079,
SMS Efesto96,1955351,1876,5.73,21.8,8613,38611,64610,687739,1471,8.96,33.3,4411,26329,20596,764768,400,3.55,15.6,2572,7700,31308,2429368,2606,6.99,28.1,9267,46578,80746,32419,130,100,8.68,37.4,348,1892,911,
Maatheus ϟ,1937620,363,1.72,3,12041,20033,79646,1015292,531,3.46,11.6,4569,13955,37741,404642,88,1.89,5.1,1739,3119,19479,2417348,780,2.61,6.8,11409,27737,94540,44273,12,13,3.65,5.7,210,722,1501,
UçaN_HamSi,67758,25,0.68,1.1,2182,1471,3199,5440003,1751,1.05,6,29192,28828,260366,87524,48,2.29,15.4,312,605,3619,163600,64,0.66,1.6,3929,2567,6895,245691,58,93,2.33,4.2,1389,3104,8717,
Kid_Fighter,2428145,331,1.06,2.8,11967,12348,103551,645186,541,4.26,21.7,2491,8316,22160,585884,676,22.85,61.1,1106,9825,17351,2083484,1617,4.33,21.2,7637,26053,71267,22988,8,9,2.62,8.6,93,223,601,
sllion.,307632,87,1,5.8,1511,1422,13235,2419662,1116,0.79,7.4,15141,11140,104335,203215,143,2.1,24.2,590,938,8063,2762617,1317,1.15,12.4,10652,10719,118099,578528,381,599,1.51,15.8,2409,3070,22012,
FaZe Thiefs,1355611,805,3.87,8.2,9813,34817,48384,1353793,1758,4.83,19.6,8962,34775,39126,1223794,516,2.52,10.4,4952,11171,45949,1695724,1232,3.17,11.5,10746,30139,62971,160993,233,149,5.1,14.3,1630,7131,4678,
IZHHAN,2502117,227,1.37,1.2,18266,24802,103625,567951,157,1.77,4,3886,6613,21867,671901,161,1.79,4.5,3608,6153,28870,1880716,377,1.46,3,12580,17843,79283,97647,23,43,1.95,3.5,652,1224,3534,
