name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,source
RggRt45#4697369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.kaggle.com/datasets/aishahakami/call-of-duty-players
JohniceRex#9176033,0,0,0,0,1,0,110,0,7,0,7,0,0,0,700,0,0,16,
bootybootykill#1892064,0,66,1.03125,0,9,0,110,0,32,16,32,0,1,0,48300,0,0,64,
JNaCo#5244172,3,2,0.4,0,1,0,0,0,3,0,3,0,0,0,1150,0,0,5,
gomezyayo_007#6596687,0,2,0.2,0,1,0,110,0,5,1,5,0,0,0,1000,0,0,10,
Brxndoon7-LK#4002715,684,27011,1.06674302,18,177,10,110,98332,1366,5113,2.323129252,588,6063,305319,3932335,255.6720351,403651,25321,
bdooory_ab#7095171,4,162,0.6328125,4,6,2,0,568,8,35,2,4,68,4836,24485,265.5,5404,256,
ahevepluto#3505304,186,1898,0.569627851,13,37,7,2,5111,550,485,3.666666667,150,488,39978,458269,180.3796364,45089,3332,
MilkyLemonz-_-#5981249,741,21803,1.036658425,26,185,29,111,81361,2442,3894,2.826388889,864,4029,327230,4269370,198.844226,408591,21032,
RPDUNKduo#8122914,26,349,0.444020356,7,12,4,0,996,44,40,2.933333333,15,138,4844,72765,253.6772727,5840,786,
BOBOQQ3#7928912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rachetevolution,0,26,0.337662338,0,6,0,110,0,37,3,37,0,4,0,25108,0,0,77,
CzarnyDelfinek#9059572,188,1949,1.495778972,22,53,4,57,3333,409,536,16.36,25,150,10511,909543,38.63031785,13844,1303,
Damian291207#7986887,0,0,0,0,1,0,0,0,1,0,1,0,0,0,200,0,0,1,
SanDrasoSa,15,132,0.631578947,7,5,4,0,549,21,25,3.5,6,31,3153,18430,199.7428571,3702,209,
DrunkUnc92#7705654,207,3452,0.697796644,10,40,9,110,16134,378,535,2.930232558,129,811,104881,530615,266.0142857,121015,4947,
