RollID,Campaign,Episode,Time,Player,Character,Type of Roll,D20?,Total Roll,Natural Roll,Crit?,Notes,Source
1,Vox Machina,1,00:37:53,Laura,Vex,Intelligence,Yes,20,18,No,FIRST ROLL OMG,https://datastudio.google.com/reporting/8ebbbf4a-6e80-49ec-a303-6feae10887b0/page/xGaZC?s=q-JLEqSd-xU
2,Vox Machina,1,00:41:48,Travis,Grog,Persuasion,Yes,19,18,No,null,
3,Vox Machina,1,00:43:25,Marisha,Keyleth,Persuasion,Yes,2,2,No,null,
4,Vox Machina,1,00:46:35,Orion,Tiberius,Persuasion,Yes,12,3,No,Disregarded due to advantage,
5,Vox Machina,1,00:46:35,Orion,Tiberius,Persuasion,Yes,27,18,No,null,
6,Vox Machina,1,00:46:35,Taliesin,Percy,Persuasion,Yes,21,15,No,null,
7,Vox Machina,1,00:47:52,Marisha,Keyleth,Insight,Yes,27,17,No,null,
8,Vox Machina,1,01:00:35,Laura,Vex,Persuasion,Yes,21,18,No,null,
9,Vox Machina,1,01:05:16,Sam,Scanlan,Constitution,Yes,20,18,No,null,
10,Vox Machina,1,01:05:16,Laura,Vex,Stealth,Yes,15,6,No,null,
11,Vox Machina,1,01:05:16,Liam,Vax,Stealth,Yes,20,7,No,null,
12,Vox Machina,1,01:07:32,Orion,Tiberius,Perception,Yes,5,8,No,null,
13,Vox Machina,1,01:08:18,Orion,Tiberius,Dexterity Save,Yes,15,12,No,null,
14,Vox Machina,1,01:12:39,Orion,Tiberius,Intimidation,Yes,18,13,No,null,
15,Vox Machina,1,01:13:24,Orion,Tiberius,Persuasion,Yes,24,13,No,null,
16,Vox Machina,1,01:17:29,Laura,Vex,Charisma,Yes,null,1,Yes,FIRST CRIT FAIL,
17,Vox Machina,1,01:19:58,Liam,Vax,Stealth,Yes,null,null,No,Disregarded due to advantage,
18,Vox Machina,1,01:19:58,Liam,Vax,Stealth,Yes,21,8,No,With Advantage,
19,Vox Machina,1,01:20:40,Liam,Vax,Attack,Yes,null,4,No,Disregarded due to advantage,
20,Vox Machina,1,01:20:40,Liam,Vax,Attack,Yes,26,15,No,Dagger Handle With advantage,
21,Vox Machina,1,01:21:30,Liam,Vax,Damage,No,27,null,No,FIRST DAMAGE,
22,Vox Machina,1,01:22:15,Liam,Vax,Acrobatics,Yes,30,17,No,null,
23,Vox Machina,1,01:24:15,Marisha,Keyleth,Performance,Yes,null,20,Yes,FIRST NAT 20,
24,Vox Machina,1,01:26:49,Liam,Vax,Persuasion,Yes,15,13,No,Disregarded due to advantage,
25,Vox Machina,1,01:26:49,Liam,Vax,Persuasion,Yes,15,13,No,Wirh advantage,
26,Vox Machina,1,01:48:38,Orion,Tiberius,Persuasion,Yes,19,10,No,null,
27,Vox Machina,1,01:50:07,Laura,Vex,Persuasion,Yes,23,16,No,null,
28,Vox Machina,1,01:59:06,Sam,Scanlan,Stealth,Yes,16,14,No,Disregarded due to advantage,
29,Vox Machina,1,01:59:18,Sam,Scanlan,Stealth,Yes,16,14,No,With advantage,
30,Vox Machina,1,02:02:41,Sam,Scanlan,Dexterity,Yes,null,null,No,Disregarded due to disadvantage,
31,Vox Machina,1,02:02:41,Sam,Scanlan,Dexterity,Yes,11,11,No,With disadvantage,
32,Vox Machina,1,02:19:48,Liam,Vax,Stealth,Yes,13,4,No,null,
33,Vox Machina,1,02:23:18,Taliesin,Percy,Attack,Yes,19,7,No,Pepperbox,
34,Vox Machina,1,02:23:18,Laura,Vex,Attack,Yes,15,4,No,Arrow,
35,Vox Machina,1,02:23:18,Liam,Vax,Attack,Yes,19,9,No,Dagger,
36,Vox Machina,1,02:25:06,Travis,Grog,Initiative,Yes,18,16,No,null,
37,Vox Machina,1,02:25:06,Marisha,Keyleth,Initiative,Yes,4,2,No,null,
38,Vox Machina,1,02:25:06,Taliesin,Percy,Initiative,Yes,27,20,No,null,
39,Vox Machina,1,02:25:06,Sam,Scanlan,Initiative,Yes,3,3,No,null,
40,Vox Machina,1,02:25:06,Orion,Tiberius,Initiative,Yes,21,19,No,null,
41,Vox Machina,1,02:25:06,Liam,Vax,Initiative,Yes,6,1,No,null,
42,Vox Machina,1,02:25:06,Laura,Vex,Initiative,Yes,18,13,No,null,
43,Vox Machina,1,02:27:50,Taliesin,Percy,Attack,Yes,30,19,No,Bad News- FIRST CRIT,
44,Vox Machina,1,02:28:30,Taliesin,Percy,Damage,No,27,null,No,null,
45,Vox Machina,1,02:30:57,Orion,Tiberius,Damage,No,27,null,No,Fireball,
46,Vox Machina,1,02:32:11,Orion,Tiberius,Damage,No,10,null,No,Telekinesis- Ogres are prone,
47,Vox Machina,1,02:33:00,Laura,Vex,Attack,Yes,21,10,No,Lightning Arrow,
48,Vox Machina,1,02:33:17,Laura,Vex,Damage,No,30,null,No,null,
49,Vox Machina,1,02:34:17,Laura,Vex,Damage,No,10,null,No,null,
50,Vox Machina,1,02:34:54,Travis,Grog,Insight,Yes,null,20,Yes,null,
51,Vox Machina,1,02:34:54,Marisha,Keyleth,Insight,Yes,20,10,No,null,
52,Vox Machina,1,02:34:54,Taliesin,Percy,Insight,Yes,null,1,Yes,null,
53,Vox Machina,1,02:34:54,Sam,Scanlan,Insight,Yes,null,null,No,Gestures for bad roll- no number,
54,Vox Machina,1,02:34:54,Orion,Tiberius,Insight,Yes,4,7,No,null,
55,Vox Machina,1,02:34:54,Liam,Vax,Insight,Yes,4,2,No,null,
56,Vox Machina,1,02:34:54,Laura,Vex,Insight,Yes,22,16,No,null,
57,Vox Machina,1,02:36:28,Travis,Grog,Attack,Yes,26,18,No,Axe,
58,Vox Machina,1,02:36:39,Travis,Grog,Damage,No,13,null,No,null,
59,Vox Machina,1,02:37:07,Travis,Grog,Attack,Yes,21,13,No,Axe,
60,Vox Machina,1,02:37:11,Travis,Grog,Damage,No,15,null,No,null,
61,Vox Machina,1,02:39:00,Liam,Vax,Attack,Yes,null,1,Yes,null,
62,Vox Machina,1,02:39:00,Liam,Vax,Attack,Yes,null,20,Yes,Dagger of Venom,
63,Vox Machina,1,02:39:15,Liam,Vax,Damage,No,35,null,No,Damage should include poison-  number not given because dead without,
64,Vox Machina,1,02:41:30,Marisha,Keyleth,Intimidation,Yes,4,4,No,null,
65,Vox Machina,1,02:47:55,Orion,Tiberius,Attack,Yes,23,14,No,Scorching Ray,
66,Vox Machina,1,02:48:08,Orion,Tiberius,Damage,No,12,null,No,null,
67,Vox Machina,1,02:48:17,Orion,Tiberius,Attack,Yes,null,20,Yes,Scorching Ray,
68,Vox Machina,1,02:48:38,Orion,Tiberius,Damage,No,12,null,No,null,
69,Vox Machina,1,02:49:04,Laura,Vex,Stealth,Yes,20,11,No,null,
70,Vox Machina,1,02:49:42,Laura,Vex,Attack,Yes,21,10,No,Arrow through Blazing Bowstring,
71,Vox Machina,1,02:50:10,Laura,Vex,Damage,No,18,null,No,null,
72,Vox Machina,1,02:50:26,Laura,Vex,Attack,Yes,24,13,No,Arrow through Blazing Bowstring,
73,Vox Machina,1,02:50:34,Laura,Vex,Damage,No,14,null,No,null,
74,Vox Machina,1,02:51:12,Travis,Grog,Attack,Yes,17,9,No,Thrown Axe,
75,Vox Machina,1,02:51:24,Travis,Grog,Damage,No,15,null,No,null,
76,Vox Machina,1,02:51:34,Laura,Vex,Damage,No,6,null,No,Hunter's Mark,
77,Vox Machina,1,02:51:45,Travis,Grog,Athletics,Yes,12,5,No,null,
78,Vox Machina,1,02:54:25,Marisha,Keyleth,Constitution Save,Yes,null,1,Yes,null,
79,Vox Machina,1,02:55:11,Orion,Tiberius,Constitution Save,Yes,16,9,No,null,
80,Vox Machina,1,02:56:10,Liam,Vax,Attack,Yes,30,19,No,Dagger with Sneak Attack,
81,Vox Machina,1,02:56:30,Liam,Vax,Attack,Yes,26,16,No,Dagger,
82,Vox Machina,1,02:56:45,Liam,Vax,Damage,No,44,null,No,null,
83,Vox Machina,1,02:57:00,Liam,Vax,Damage,No,6,null,No,null,
84,Vox Machina,1,02:58:11,Marisha,Keyleth,Damage,No,8,null,No,Thunderwave,
85,Vox Machina,1,03:00:07,Sam,Scanlan,Damage,No,24,null,No,Lightning Bolt- FIRST HDYWTDT,
86,Vox Machina,2,00:16:32,Marisha,Keyleth,Constitution Save,Yes,null,null,No,Disregarded due to advantage,
87,Vox Machina,2,00:16:32,Marisha,Keyleth,Constitution Save,Yes,13,10,No,With advantage,
88,Vox Machina,2,00:22:27,Taliesin,Percy,Persuasion,Yes,14,12,No,null,
89,Vox Machina,2,00:24:00,Liam,Vax,Sleight of Hand,Yes,11,2,No,null,
90,Vox Machina,2,00:24:25,Liam,Vax,Inspiration,No,8,null,No,null,
91,Vox Machina,2,00:26:50,Laura,Vex,Investigation,Yes,25,null,No,Bad math or actually proficent?,
92,Vox Machina,2,00:42:07,Laura,Vex,Perception,Yes,null,1,Yes,null,
93,Vox Machina,2,00:42:10,Taliesin,Percy,Perception,Yes,10,3,No,Assists Vex,
94,Vox Machina,2,00:42:10,Liam,Vax,Perception,Yes,10,3,No,This one was mouthed.,
