name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
aarakocra,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,1/4,humanoid (aarakocra),Medium,12,13,fly,neutral good,,Monster Manual (BR),10.0,14.0,10.0,11.0,12.0,11.0
abjurer,,9,humanoid (any race),Medium,12,84,,any alignment,,Volo's Guide to Monsters,,,,,,
aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,10,aberration,Large,17,135,swim,lawful evil,Legendary,Monster Manual (SRD),21.0,9.0,15.0,18.0,15.0,18.0
abominable-yeti,,9,monstrosity,Huge,15,137,,chaotic evil,,Monster Manual,,,,,,
acererak,,23,undead,Medium,21,285,,neutral evil,,Adventures (Tomb of Annihilation),,,,,,
acolyte,https://www.aidedd.org/dnd/monstres.php?vo=acolyte,1/4,humanoid (any race),Medium,10,9,,any alignment,,Monster Manual (SRD),10.0,10.0,10.0,10.0,14.0,11.0
adult-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-black-dragon,14,dragon,Huge,19,195,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),23.0,14.0,21.0,14.0,13.0,17.0
adult-blue-dracolich,,17,undead,Huge,19,225,fly,lawful evil,Legendary,Monster Manual,,,,,,
adult-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-blue-dragon,16,dragon,Huge,19,225,fly,lawful evil,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0
adult-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-brass-dragon,13,dragon,Huge,18,172,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,10.0,21.0,14.0,13.0,17.0
adult-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-bronze-dragon,15,dragon,Huge,19,212,"fly, swim",lawful good,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0
adult-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-copper-dragon,14,dragon,Huge,18,184,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,17,dragon,Huge,19,256,"fly, swim",lawful good,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,24.0
adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,15,dragon,Huge,19,207,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
adult-kruthik,,2,monstrosity,Medium,18,39,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
adult-oblex,,5,ooze,Medium,14,75,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
adult-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-red-dragon,17,dragon,Huge,19,256,fly,chaotic evil,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
adult-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-silver-dragon,16,dragon,Huge,19,243,fly,lawful good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
adult-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-white-dragon,13,dragon,Huge,18,200,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),22.0,10.0,22.0,8.0,12.0,12.0
