game,track.id,track.name,track.artist,track.album.name,track.album.release_date,track.album.release_date_precision,track.explicit,track.duration_ms,track.popularity,track.external_urls.spotify,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Just Dance Unlimited,5Q7TzTJTgpFnaybWvDA4jd,Get Ugly,Jason Derulo,Get Ugly,08/04/2015,day,TRUE,200492,40,https://open.spotify.com/track/5Q7TzTJTgpFnaybWvDA4jd,0.75,0.683,9,-4.829,0,0.12,0.0462,1.32E-06,0.297,0.539,111.066
Just Dance Unlimited,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,02/12/2014,day,FALSE,199080,84,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038
Just Dance Unlimited,1i1rNVtxbE7rdFfpHuNq2j,Hold My Hand,Jess Glynne,Hold My Hand,24/02/2015,day,FALSE,227343,61,https://open.spotify.com/track/1i1rNVtxbE7rdFfpHuNq2j,0.642,0.823,0,-5.717,1,0.0289,0.00159,0,0.0776,0.431,122.977
Just Dance Unlimited,6fQcqEcXfnY0L6VwS0c3gT,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI & Felix Jaehn,Cheerleader (Felix Jaehn Remix Radio Edit),02/12/2014,day,FALSE,180021,59,https://open.spotify.com/track/6fQcqEcXfnY0L6VwS0c3gT,0.827,0.576,4,-7.774,1,0.0372,0.184,0.029,0.0656,0.41,118.04
Just Dance Unlimited,2wqaekenSQZm7hxQOYt8oE,Am I Wrong,Nico & Vinz,Am I Wrong,21/01/2014,day,FALSE,247520,62,https://open.spotify.com/track/2wqaekenSQZm7hxQOYt8oE,0.725,0.68,8,-5.465,1,0.0306,0.162,2.13E-06,0.158,0.76,119.939
Just Dance Unlimited,5k5fWendNngd89O8JKoE8L,Better When I'm Dancin',Meghan Trainor,Better When I'm Dancin',14/10/2015,day,FALSE,176266,74,https://open.spotify.com/track/5k5fWendNngd89O8JKoE8L,0.756,0.789,2,-7.002,1,0.0324,0.53,0.000711,0.157,0.873,127.987
Just Dance Unlimited,34vuwpTj9M0cFYJ0DeK97Z,Taste The Feeling (Avicii Vs. Conrad Sewell),Avicii & Conrad Sewell,Taste The Feeling (Avicii Vs. Conrad Sewell),11/03/2016,day,FALSE,191065,0,https://open.spotify.com/track/34vuwpTj9M0cFYJ0DeK97Z,0.638,0.792,6,-4.501,1,0.0555,0.0337,0,0.0618,0.595,89.974
Just Dance Unlimited,3gIxuxGoNdVOaLw4SlyB0M,<U+0423><U+043B><U+044B><U+0431><U+0430><U+0439><U+0441><U+044F>,IOWA,8 <U+043C><U+0430><U+0440><U+0442><U+0430> (<U+041B><U+0443><U+0447><U+0448><U+0438><U+0435> <U+043F><U+0435><U+0441><U+043D><U+0438> <U+0434><U+043B><U+044F> <U+043D><U+0435><U+0451>),12/02/2016,day,FALSE,218091,0,https://open.spotify.com/track/3gIxuxGoNdVOaLw4SlyB0M,0.738,0.801,7,-3.709,1,0.166,0.00957,1.73E-05,0.205,0.94,129.998
Just Dance Unlimited,61w1Ry5X8UUsbNoPG7zRP1,Land of 1000 Dances,Wilson Pickett,Rhino Hi-Five: Wilson Pickett,15/03/2005,day,FALSE,146973,53,https://open.spotify.com/track/61w1Ry5X8UUsbNoPG7zRP1,0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903
Just Dance Unlimited,1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,20/02/1990,day,FALSE,257360,75,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148
