tracklist_id,track_id,station,host,station_logo,artist_name,artist_id,track_name,track_popularity,track_explicit,track_duration,spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,0jXPTqxWliX6Z2R1fdwzYT,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Trouble Funk,1EGr1AnjVRXYz8j9CTYDlm,Pump Me Up,11,FALSE,296045,https://open.spotify.com/track/0jXPTqxWliX6Z2R1fdwzYT,0.735,0.573,10,-11.306,0,0.282,0.113,8.17E-06,0.632,0.365,102.601
2,5uAzSQQhVL9X0C2BFNA7EC,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Davy DMX,2IsmDumTniT9BP7qyozDCC,One for the Treble,0,FALSE,383096,https://open.spotify.com/track/5uAzSQQhVL9X0C2BFNA7EC,0.908,0.398,10,-14.509,0,0.21,2.58E-05,0.69,0.0917,0.715,105.226
3,5NKHUvpRs7zr0yOQjx8Exr,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Cybotron,5Mr6zawZ90BzjY14EROmSm,Clear,43,FALSE,294533,https://open.spotify.com/track/5NKHUvpRs7zr0yOQjx8Exr,0.802,0.637,11,-13.008,0,0.0624,0.000231,0.831,0.587,0.336,125.284
4,6nDk4QT1fDe0S86PxijTUE,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Hashim,6AWyFSk8mBekuHeotBV1Jx,Al-Naafyish - Time,40,FALSE,374666,https://open.spotify.com/track/6nDk4QT1fDe0S86PxijTUE,0.702,0.828,2,-7.609,1,0.0485,9.35E-05,0.784,0.407,0.45,122.757
5,2nWHzbBWBOePUvAImQv2So,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Rockit,50,FALSE,325133,https://open.spotify.com/track/2nWHzbBWBOePUvAImQv2So,0.878,0.951,7,-5.077,1,0.069,0.0317,0.544,0.0614,0.607,111.334
6,3grljpi1aYIRA6TuXvGigL,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Afrika Bambaataa,7cg61q8kK8jlFi8TKKw70p,"Looking for the Perfect Beat - Original 12"" Version",44,FALSE,422493,https://open.spotify.com/track/3grljpi1aYIRA6TuXvGigL,0.821,0.908,0,-11.392,1,0.0666,0.0432,0.00398,0.111,0.77,119.562
7,7DEpSeyiupvwY5tB8Yqbhh,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,2 LIVE CREW,58Dx4HPzeOO3dbpD9YYEes,Get It Girl,39,TRUE,235866,https://open.spotify.com/track/7DEpSeyiupvwY5tB8Yqbhh,0.882,0.6,4,-13.33,0,0.156,0.00835,1.10E-05,0.602,0.427,124.597
8,2XYNq7LIQrh82m7LPiPN8w,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,Rock Box,47,FALSE,330573,https://open.spotify.com/track/2XYNq7LIQrh82m7LPiPN8w,0.777,0.892,0,-4.555,1,0.0932,0.171,1.79E-06,0.384,0.648,100.231
9,4iuO0dinw5Bm18pXbZok8w,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Mantronix,0grZF2s6ADKiTGwf8EVZEY,Bassline,39,FALSE,326920,https://open.spotify.com/track/4iuO0dinw5Bm18pXbZok8w,0.815,0.854,11,-8.664,0,0.206,0.018,0.00785,0.317,0.262,102.814
10,0NB3i5GSB3bUfBvNDZh8y2,Wildstyle,Mr. Magic,https://static.wikia.nocookie.net/gtawiki/images/d/d1/WildstylePirateRadio.png/revision/latest/scale-to-width-down/140?cb=20141024194945,Tyrone Brunson,2iOW6LuBHr1Qzb9gtu6ZMn,The Smurf,28,FALSE,365600,https://open.spotify.com/track/0NB3i5GSB3bUfBvNDZh8y2,0.824,0.884,7,-5.36,1,0.141,0.00297,0.39,0.239,0.393,117.964
