Name,Phy,Mag,Fire,Ligh,Holy,CritBoost,Str,Dex,Int,Fai,Arc,Wgt,Skill,Category,category_url,last_updated
Dagger,74 35,- 20,- 20,- 20,- 20,130 15,5 D,9 C,- - ,- - ,- - ,1.5,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Parrying Dagger,75 35,- 20,- 20,- 20,- 20,110 15,5 E,14 C,- - ,- - ,- - ,1.5,- Kick,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Misericorde,92 36,- 21,- 21,- 21,- 21,140 15,7 E,12 D,- - ,- - ,- - ,2,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Great Knife,75 35,- 20,- 20,- 20,- 20,110 15,6 E,12 C,- - ,- - ,- - ,1.5,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Bloodstained Dagger,81 36,- 21,- 21,- 21,- 21,110 15,9 C,12 E,- - ,- - ,- - ,2,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Erdsteel Dagger,67 36,- 21,- 21,- 21,- 21,110 15,7 D,12 D,- - ,14 D,- - ,2,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Wakizashi,94 42,- 24,- 24,- 24,- 24,100 18,9 D,13 D,- - ,- - ,- - ,3,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Celebrant's Sickle,79 35,- 20,- 20,- 20,- 20,100 15,6 E,11 C,- - ,- - ,- - ,1.5,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Ivory Sickle,60 26,60 42,- 15,- 15,- 15,100 15,6 E,11 D,13 D,- - ,- - ,2,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Crystal Knife,82 32,53 31,- 18,- 18,- 18,100 15,8 D,12 D,9 D,- - ,- - ,2,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Scorpion's Stinger,79 38,- 22,- 22,- 22,- 22,110 16,6 D,12 C,- - ,- - ,- - ,2.5,7 Repeating Thrust,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Cinquedea,98 43,- 25,- 25,- 25,- 25,100 18,10 D,10 E,- - ,- - ,- - ,3.5,3 Quickstep,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Glintstone Kris,57 23,68 45,- 14,- 14,- 14,110 15,5 E,12 D,16 D,- - ,- - ,1.5,10 (- 4) Glintstone Dart,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Reduvia,79 38,- 22,- 22,- 22,- 22,110 16,5 E,13 D,- - ,- - ,13 D,2.5,6 (- 6) Reduvia Blood Blade,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Blade of Calling,71 31,- 18,- 18,- 18,43 30,110 15,6 D,13 D,- - ,15 C,- - ,1.5,20 Blade of Gold,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Black Knife,66 26,- 15,- 15,- 15,65 42,110 15,8 E,12 D,- - ,18 D,- - ,2,25 Blade of Death,Daggers,https://eldenring.wiki.fextralife.com/Daggers,15/08/2022
Short Sword,102 42,- 28,- 28,- 28,- 28,100 28,8 D,10 D,- - ,- - ,- - ,3,- Kick,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Longsword,110 45,- 30,- 30,- 30,- 30,100 30,10 D,10 D,- - ,- - ,- - ,3.5,- (6 8) Square Off,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Broadsword,117 47,- 31,- 31,- 31,- 31,100 31,10 D,10 E,- - ,- - ,- - ,4,- (6 8) Square Off,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Weathered Straight Sword,103 43,- 29,- 29,- 29,- 29,100 27,7 D,10 D,- - ,- - ,- - ,3,- (6 8) Square Off,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Lordsworn's Straight Sword,115 45,- 30,- 30,- 30,- 30,110 30,10 D,10 D,- - ,- - ,- - ,3.5,- (6 8) Square Off,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Noble's Slender Sword,101 43,- 29,- 29,- 29,- 29,110 30,8 E,11 C,- - ,- - ,- - ,3.5,- (6 8) Square Off,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Cane Sword,96 41,- 27,- 27,- 27,- 27,100 27,8 E,11 D,- - ,- - ,- - ,2.5,- (6 8) Square Off,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Warhawk's Talon,101 42,- 28,- 28,- 28,- 28,100 30,10 D,16 C,- - ,- - ,- - ,3,6 (- 12) Spinning Slash,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Lazuli Glintstone Sword,79 30,94 55,- 25,- 25,- 25,100 30,8 D,9 E,13 D,- - ,- - ,3.5,8 (- 4) Glintstone Pebble,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Carian Knight's Sword,88 36,88 52,- 26,- 26,- 26,100 31,10 D,10 D,18 D,- - ,- - ,4,26 Carian Grandeur,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Crystal Sword,106 44,68 44,- 30,- 30,- 30,100 33,13 D,10 E,15 D,- - ,- - ,4.5,6 (- 12) Spinning Slash,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Rotten Crystal Sword,102 48,66 38,- 31,- 31,- 31,100 33,13 D,10 E,15 D,- - ,- - ,4.5,6 (- 12) Spinning Slash,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Miquellan Knight's Sword,105 40,- 28,- 28,- 28,68 40,100 30,11 D,11 D,- - ,16 E,- - ,3.5,19 Sacred Blade,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
Ornamental Straight Sword,101 42,- 28,- 28,- 28,- 28,110 28,10 E,14 D,- - ,- - ,- - ,3,30 Golden Tempering,Straight Swords,https://eldenring.wiki.fextralife.com/Straight+Swords,15/08/2022
